protocol_id,elem_id,segmentation,comments,text
prot-1910--fk--9,i-16QCzvUYV8XyHq4jaT9Nw,u,,"Herr talman, mina herrar! Då jag genomläste den motion, som föreligger 1 förevarande punkt, syntes mig billigheten kräfva, att läraren A. Andersèns aflöning blefve så höjd, som motionären påyrkade, eller till 3,000 kronor. Sedermera har det för mig från sakkunnigt håll uppgifvits, att Andersèn under utöfningen af sin långa tjänstemannagärning visat synnerligt nit och utvecklat stor skicklighet. Han har under sin mer än 30-åriga lärarverksamhet fullgjort så att säga en dubbel tjänstgöring, undervisat under dubbla antalet timmar per vecka mot hvad slika lärare pläga göra. Han bör därför nu, då han står vid slutet af sin tjänstetid, komma i åtnjutande af hela den lön, som kommer att utgå, sedan han från sin tjänstebefattning afgått - då tjänsten kommer att upp-"
prot-1910--fk--12,i-19ok989VJskX4e64FD2gU,note,,Föredrogs och hänvisades till bankoutskottet Kungl. Maj:ts denna dag aflämnade nådiga proposition till Riksdagen angående beredande af pension från allmänna indragningsstaten åt städerskan vid krigsskolan Sofia Charlotta Andersson.
prot-1910--fk--15,i-1EhMvn5frPThp7oJb5ziw,note,,"Vid ånyo skedd föredragning af lagutskottets den 11 och 12 i denna månad bordlagda utlåtande nr 31 i anledning af väckta motioner om ändrad lydelse af 16'8 2 och 6 mom. värnpliktslagen, biföll kammaren hvad utskottet i detta utlåtande hemställt."
prot-1910--ak--27,i-118M6FjqPGeS8SzhPFdFz,u,KB-labbslänken saknas,"Herrarne finna af betänkandet, att undertecknad afgifvit en reservation"
prot-1910--ak--62,i-15EzoGTFeuEvUvCQUPn9T,u,,stämmelsen intages bland villkoren för öfverlåtelsen. stad af vissa
prot-1910--ak--21,i-18KqDPmqegiyr5yjSiQMu,note,,"Voteringen utvisade 105 ja mot 83 nej, hvadan kammaren, med afslag å utskottets hemställan, bifallit den af herr Widèn m. f. i ämnet afgifna reservationen."
prot-1911--fk--13,i-11MSo6GBQAAy9YuSfUFq1,note,,"Sedan öfverläggningen ansetts härmed slutad, gjordes jämlikt därunder förekomna yrkanden propositioner, först på bifall till hvad utskottet i förevarande punkt hemställt samt vidare därpå att kammaren skulle antaga det förslag, som innefattades i den vid punkten afgifna reservationen"
prot-1911--fk--24,i-11yRZBATbJhMJv5ubcByG,u,,"Enligt min åsikt borde ett sådant tillägg icke kunna stöta någon, hvarken de stora eller små bankerna. De anspråk, jag framställer, äro ganska små, och jag har stöd för min framställning både i kommittèns och i Kungl. Maj: ts första förslag, som gick mycket längre. Jag har äfven delvis ett stöd i Kungl. ""Maj:ts sista förslag, där föredragande departementschefen i denna fråga säger, att det icke kan betecknas såsom obilligt, att en ökad marknad inom landet beredes våra statsobligationer på samma gång ett såsom kassareserv synnerligen lämpligt papper uppföres i bankernas portfölj. Detta är uttaladt af finansministern själl."
prot-1911--fk--9,i-112aEvTz9ZqhxRKPPUcncm,u,,"man utan vidare till godo med att taga till extra ordinarie lärare personer, som icke ens aflagt någon akademisk examen. - Hur"
prot-1911--ak--6,i-11Bq9WCC42KYiBBpJG5FU,note,"Uppräkning namn och röster, OCR-tolkning?","ÖStersUNAÃ… oosoosseesreer rer errrrerrrrrr rer er r ense rr rd herr Engström, E. O0., landstingsman, Bispgården > Sundin, E., Â£. d. riksdagsman, Hallen ......"
prot-1911--ak--9,i-112Vt2yF9DfxbGDzaQPUrJ,margin,,Ang. nedre justitierevisionen.
prot-1911--ak--19,i-158eu2MLKPzXbfi5pKDjg,intro,,Herr Jesperson:
prot-1912--fk--30,i-13Xd9Ca3HQzEKWgPJr2wJ,margin,,18 Onsdagen den 1 maj.
prot-1912--fk--15,i-145GeBpKTDbxMMpmiS1ju,note,,Kammaren sammanträdde kl. 7 e. m.
prot-1912--fk--28,i-14E6dJxbyQHRHfA4pkduM,u,,"Om man skall skaffa sig en tomt för att bebygga den till ett eget hem, är naturligtvis det afgörande, huru mycket den kostar, och det är ju fullkomligt likgiltigt, om upplåtaren ämnar använda penningarna till att därmed bilda en fond för att därmed inlösa byggnaderna vid aftalstidens slut eller om han ämnar göra någonting annat med dem. Nu säger vattenfallsstyrelsen: det är just hvad som är fallet här vid Trollhättan att vi taga afgifter, hvilka sammanlagda äro lagom beräknade efter tomtens värde, men det kan ju kanske låta illa, att en del af dessa afgifter skola användas för att inlösa tomträttsinnehafvarens egna byggnader"
prot-1912--ak--54,i-113qzdsbWMbP1qZ4r4afb,note,Beslut,"Omröstningen enligt denna proposition utvisade 133 ja mot 45 nej, hvadan propositionen i hufvudvoteringen erhöll följande af kammaren godkända lydelse:"
prot-1912--ak--14,i-13dVr55SKyzuHwDnhDvNM,u,,"Jag ber att få nämna, att Första kammaren märkvärdigt nog gått ifrån de formalistiska skäl, som den förut haft, och bifallit motionen. Andra kammaren biföll en dylik motion i fjol. Jag vet icke, huru den kommer att göra nu, men jag tager mig"
prot-1912--ak--49,i-14ToAzb7QJxyhtvh9DsQr,note,,Herr Edèn instämde häruti.
prot-1913--fk--10,i-1C9aGgH8SuuGJUy8Jrq6y,note,,"Överläggningen ansågs härmed slutad, varefter kammaren biföll vad utskottet i denna punkt hemställt."
prot-1913--fk--28,i-1GHLoVrG43aGu4qP5RLPu,u,,Herr talman! Jag yrkar bifall till utskottets förslag.
prot-1913--fk--14,i-1JEEi1hhU5GV6X8rYXteu,margin,,Om understödjande av idrotten.
prot-1913--ak--49,i-143PQsPmxrDX1k4aJzLyK,u,,"man här icke medtagit arbetsgivarbidrag. Ja, detta är naturligtvis en fråga av synnerligen vital betydelse, men är det rik-"
prot-1913--ak--53,i-18GiQVSPGKVeHy5rw3E81,margin,Protokollsnummer,Nr 53.
prot-1913--ak--53,i-18xRHKdNRE2LJYGGWo7W6,margin,,Angående ett statsstuteri å Ottenby kungsladugård.
prot-1914-b-fk--10,i-1HaiR4d2i8nzpqGsLvwWE,note,,"Robert Dahl, Leg. läk."
