,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,protocol_id,x,elem_id,text,segmentation,speaker,comments,facs,github,checked
0,0,0,0,prot-1900--ak--16,6,i-V2dcVXq8yXAvELUERxRgKW,N:o 16.,note,,,https://betalab.kb.se/prot-1900--ak--16/prot_1900__ak__16-005.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--16.xml#L372,True
1,1,1,1,prot-1900--ak--16,6,i-LTVAkqJB38Jev5DZqop6MV,"6 "" Fredagen de",note,,,https://betalab.kb.se/prot-1900--ak--16/prot_1900__ak__16-005.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--16.xml#L375,True
2,2,2,2,prot-1900--ak--16,6,i-ESvhAfJ4UrHC2tG9CkyXD7,Interpellation.,u,Q6257694,margin note and u,https://betalab.kb.se/prot-1900--ak--16/prot_1900__ak__16-005.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--16.xml#L379,True
3,3,3,3,prot-1900--ak--16,6,i-DJDixPVSDejKrrKz7Bg8P7,(Forts.),note,,margin,https://betalab.kb.se/prot-1900--ak--16/prot_1900__ak__16-005.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--16.xml#L384,True
4,4,4,4,prot-1900--ak--16,6,i-73tyHZEHVzRJwwBKEbgtPy,en smerglad bit,u,Q6257694,,https://betalab.kb.se/prot-1900--ak--16/prot_1900__ak__16-005.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--16.xml#L388,True
5,5,5,5,prot-1900--ak--16,6,i-4cXTs3S7arqkySc8CVNG69,"Det är gifvet, ",u,Q6257694,,https://betalab.kb.se/prot-1900--ak--16/prot_1900__ak__16-005.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--16.xml#L394,True
6,6,6,6,prot-1900--ak--16,6,i-WFd7tRJ8fSA3WKh4Em6trK,Beträffande den,u,Q6257694,,https://betalab.kb.se/prot-1900--ak--16/prot_1900__ak__16-005.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--16.xml#L405,True
7,7,7,7,prot-1900--ak--16,6,i-WHB6cmPJV5TqfuRWonoMDP,Då denna fråga ,u,Q6257694,,https://betalab.kb.se/prot-1900--ak--16/prot_1900__ak__16-005.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--16.xml#L417,True
8,8,8,8,prot-1900--ak--16,6,i-5ru1HdKZrAN6Ed1qDZ6DuR,Har herr statsr,u,Q6257694,,https://betalab.kb.se/prot-1900--ak--16/prot_1900__ak__16-005.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--16.xml#L425,True
9,9,9,9,prot-1900--ak--16,6,i-MHRqYndDzgzMg52yhKtM4x,Om så ej är fal,u,Q6257694,,https://betalab.kb.se/prot-1900--ak--16/prot_1900__ak__16-005.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--16.xml#L432,True
10,10,10,10,prot-1900--ak--16,6,i-36YwZfwLDsQydKpyVyHTyx,Den af herr Öst,note,,,https://betalab.kb.se/prot-1900--ak--16/prot_1900__ak__16-005.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--16.xml#L437,True
11,11,11,11,prot-1900--ak--16,6,i-L4cncvYKxpyHii8AhCDSdq,Herr Hj. Branti,note,,,https://betalab.kb.se/prot-1900--ak--16/prot_1900__ak__16-005.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--16.xml#L441,True
12,12,12,12,prot-1900--ak--16,6,i-HsNAEfWyhFCe9fJqjS1Cqb,Denna motion bl,note,,,https://betalab.kb.se/prot-1900--ak--16/prot_1900__ak__16-005.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--16.xml#L446,True
13,13,13,13,prot-1900--ak--16,6,i-G8mEKisg4XBiBSjmV9yPes,§ 7. Justerades,note,,part of the note is a head,https://betalab.kb.se/prot-1900--ak--16/prot_1900__ak__16-005.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--16.xml#L449,True
14,14,14,14,prot-1900--ak--16,6,i-3UpMpg9YLDexLbjfXtJbP7,§ 8.,note,,head,https://betalab.kb.se/prot-1900--ak--16/prot_1900__ak__16-005.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--16.xml#L452,True
15,15,15,15,prot-1900--ak--16,6,i-8MuNRR9VxJhPKBgh4f7LvQ,Ledighet från r,note,,,https://betalab.kb.se/prot-1900--ak--16/prot_1900__ak__16-005.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--16.xml#L455,True
16,16,16,16,prot-1900--ak--22,8,i-5KX8W3vb7ndzSibfFmfRyJ,N:o 22.,note,,margin,https://betalab.kb.se/prot-1900--ak--22/prot_1900__ak__22-007.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--22.xml#L704,True
17,17,17,17,prot-1900--ak--22,8,i-Sx23YUFq7AkcKuS1TN6gjF,Nya byggsuder o,note,,margin,https://betalab.kb.se/prot-1900--ak--22/prot_1900__ak__22-007.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--22.xml#L707,True
18,18,18,18,prot-1900--ak--22,8,i-D7nNRp8z232fvEkj7yVq5K,(Forts.),note,,margin,https://betalab.kb.se/prot-1900--ak--22/prot_1900__ak__22-007.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--22.xml#L710,True
19,19,19,19,prot-1900--ak--22,8,i-FG94o5Nt7M5xGjmuSdbmcY,| 8 Onsdagen de,note,,margin,https://betalab.kb.se/prot-1900--ak--22/prot_1900__ak__22-007.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--22.xml#L713,True
20,20,20,20,prot-1900--ak--22,8,i-YJgqZHzkLKs8pibm3G1Mud,att vid denna s,u,Q6039812,,https://betalab.kb.se/prot-1900--ak--22/prot_1900__ak__22-007.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--22.xml#L717,True
21,21,21,21,prot-1900--ak--22,8,i-TeMEH7iofpQ1tURnm94gEs,Nu finnes det v,u,Q6039812,,https://betalab.kb.se/prot-1900--ak--22/prot_1900__ak__22-007.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--22.xml#L729,True
22,22,22,22,prot-1900--ak--22,8,i-Ag1nUpNow8VyqPBL6iL6SJ,Jag tillåter mi,u,Q6039812,,https://betalab.kb.se/prot-1900--ak--22/prot_1900__ak__22-007.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--22.xml#L738,True
23,23,23,23,prot-1900--ak--22,8,i-DATm3W6dCpENTenmTv3jFS,Herr Pehrson i ,note,,intro: intro,https://betalab.kb.se/prot-1900--ak--22/prot_1900__ak__22-007.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--22.xml#L744,True
24,24,24,24,prot-1900--ak--22,8,i-ALpVMRSFfvWTTgUeMfEvNL,Herr talman! De,u,Q6039716,this guy and the last guy are both called Pehr Pehrsson? Sus...,https://betalab.kb.se/prot-1900--ak--22/prot_1900__ak__22-007.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--22.xml#L748,True
25,25,25,25,prot-1900--ak--22,8,i-8hU9tk39REE3ixMPB9txdB,Jag vill icke f,u,Q6039716,,https://betalab.kb.se/prot-1900--ak--22/prot_1900__ak__22-007.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--22.xml#L762,True
26,26,26,26,prot-1900--ak--22,8,i-PEqJbMyZdJLRqE3Eb9R4tB,Här har blifvit,u,Q6039716,,https://betalab.kb.se/prot-1900--ak--22/prot_1900__ak__22-007.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--22.xml#L784,True
27,27,27,27,prot-1900--ak--31,14,i-BrDHj4qAjNzMzZcUdynSQq,N:o 31.,note,,margin,https://betalab.kb.se/prot-1900--ak--31/prot_1900__ak__31-013.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--31.xml#L1187,True
28,28,28,28,prot-1900--ak--31,14,i-172wBGqWZJDsm2WAUj9APN,Angående afskaf,note,,margin,https://betalab.kb.se/prot-1900--ak--31/prot_1900__ak__31-013.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--31.xml#L1190,True
