protocol_id,x,elem_id,text,segmentation,speaker,comments,facs,github
prot-1890--ak--22,63,i-BGABLZDC48e52UdXJhjvfa,Onsdagen den 26,,,,https://betalab.kb.se/prot-1890--ak--22/prot_1890__ak__22-062.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--ak--22.xml#L5575
prot-1890--ak--22,63,i-ELY1bB46viazgRFmSxRR8k,alltså i dag at,,,,https://betalab.kb.se/prot-1890--ak--22/prot_1890__ak__22-062.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--ak--22.xml#L5579
prot-1890--ak--22,63,i-CcJtoaWaZ7CCFa3r3E75gS,Herr Ollas A. E,,,,https://betalab.kb.se/prot-1890--ak--22/prot_1890__ak__22-062.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--ak--22.xml#L5592
prot-1890--ak--22,63,i-T2skJbwjq7Yo5TS4CTwCLF,Jag vill endast,,,,https://betalab.kb.se/prot-1890--ak--22/prot_1890__ak__22-062.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--ak--22.xml#L5596
prot-1890--ak--22,63,i-63pEJcFvUH4KdDfu1yDqCY,Herr Björck:,,,,https://betalab.kb.se/prot-1890--ak--22/prot_1890__ak__22-062.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--ak--22.xml#L5601
prot-1890--ak--22,63,i-AbeSXH4earPYLL7VeXq9N5,Herr vice talma,,,,https://betalab.kb.se/prot-1890--ak--22/prot_1890__ak__22-062.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--ak--22.xml#L5605
prot-1890--ak--22,63,i-6BteUKJb3LJvqczeVC8qiL,Jag yrkar afsla,,,,https://betalab.kb.se/prot-1890--ak--22/prot_1890__ak__22-062.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--ak--22.xml#L5627
prot-1890--ak--22,63,i-7swbR9asnPmX2MgS5xj57Z,Herr Andersson ,,,,https://betalab.kb.se/prot-1890--ak--22/prot_1890__ak__22-062.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--ak--22.xml#L5630
prot-1890--ak--22,63,i-S7JLZwLFdy6TAZ7BbfmGAD,Herr vice talma,,,,https://betalab.kb.se/prot-1890--ak--22/prot_1890__ak__22-062.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--ak--22.xml#L5634
prot-1890--ak--22,63,i-PFG1ju9cEu5ZMd751GZ3F7,På samma gång b,,,,https://betalab.kb.se/prot-1890--ak--22/prot_1890__ak__22-062.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--ak--22.xml#L5645
prot-1890--ak--36,19,i-GTENRcXLpheX7renTN1g9Z,Lördagen den 3 ,,,,https://betalab.kb.se/prot-1890--ak--36/prot_1890__ak__36-018.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--ak--36.xml#L1764
prot-1890--ak--36,19,i-Fzy9qL3tbu7NvKShzFV7Yu,en jemförelse m,,,,https://betalab.kb.se/prot-1890--ak--36/prot_1890__ak__36-018.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--ak--36.xml#L1767
prot-1890--ak--36,19,i-2b3bUqjYDCbA3hfpU2qvJ2,Zz . o 6 lärove,,,,https://betalab.kb.se/prot-1890--ak--36/prot_1890__ak__36-018.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--ak--36.xml#L1772
prot-1890--ak--36,19,i-VhZS5sMQQjFbyue3KNozq6,- jemförelse al,,,,https://betalab.kb.se/prot-1890--ak--36/prot_1890__ak__36-018.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--ak--36.xml#L1778
prot-1890--ak--36,19,i-GYsfNy2f1L8Q5W5hM8EybX,Reservanterna h,,,,https://betalab.kb.se/prot-1890--ak--36/prot_1890__ak__36-018.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--ak--36.xml#L1789
prot-1890--ak--36,19,i-T9twvEJ2LhZHrVFXyRm1so,Det hände under,,,,https://betalab.kb.se/prot-1890--ak--36/prot_1890__ak__36-018.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--ak--36.xml#L1808
prot-1890--ak--36,19,i-QV4Re2GNXAFoyWTird2VNV,Således tycker ,,,,https://betalab.kb.se/prot-1890--ak--36/prot_1890__ak__36-018.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--ak--36.xml#L1837
prot-1890--ak--38,11,i-8zA94TzBR7NdHuHVTN9VDn,Måndagen den 5 ,,,,https://betalab.kb.se/prot-1890--ak--38/prot_1890__ak__38-010.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--ak--38.xml#L854
prot-1890--ak--38,11,i-5MyGGhfuxHhGD8fYKhhGVn,"gen, att man vi",,,,https://betalab.kb.se/prot-1890--ak--38/prot_1890__ak__38-010.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--ak--38.xml#L857
prot-1890--ak--38,11,i-289GZfcrnMbKbSocZ9ZswF,Jag vill ingalu,,,,https://betalab.kb.se/prot-1890--ak--38/prot_1890__ak__38-010.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--ak--38.xml#L862
prot-1890--ak--38,11,i-PysAeibzc37kwyCABxB7CD,Nu är det fråga,,,,https://betalab.kb.se/prot-1890--ak--38/prot_1890__ak__38-010.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--ak--38.xml#L886
prot-1890--ak--38,11,i-Ch6icXEHAF1gcW638pmqkN,När frågan om a,,,,https://betalab.kb.se/prot-1890--ak--38/prot_1890__ak__38-010.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--ak--38.xml#L899
prot-1890--ak--38,11,i-VEYEXW9UKXCthBRvRh1LdE,Af upprigtigt i,,,,https://betalab.kb.se/prot-1890--ak--38/prot_1890__ak__38-010.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--ak--38.xml#L910
prot-1890--ak--38,11,i-Qg71PuvDdXe3tYVmAx8X53,I detta yttrand,,,,https://betalab.kb.se/prot-1890--ak--38/prot_1890__ak__38-010.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--ak--38.xml#L914
prot-1890--ak--38,11,i-FrEjQdCbZHMkDYa9nKEUoW,Vidare anförde:,,,,https://betalab.kb.se/prot-1890--ak--38/prot_1890__ak__38-010.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--ak--38.xml#L919
prot-1890--ak--38,11,i-T1bFLN2VczWJerejmEMXqa,Herr Kardell:,,,,https://betalab.kb.se/prot-1890--ak--38/prot_1890__ak__38-010.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--ak--38.xml#L923
prot-1890--ak--38,11,i-S4a8xVFigb5EHYN1pMtfJH,Jag har instämt,,,,https://betalab.kb.se/prot-1890--ak--38/prot_1890__ak__38-010.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--ak--38.xml#L926
prot-1890--fk--6,2,i-XNzkzHh5Zjwm5635H1MZpG,N:o 6.,,,,https://betalab.kb.se/prot-1890--fk--6/prot_1890__fk__6-001.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--fk--6.xml#L126
prot-1890--fk--6,2,i-QskJrR73AyMV1k1otNCRQ7,Tillökning i sv,,,,https://betalab.kb.se/prot-1890--fk--6/prot_1890__fk__6-001.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--fk--6.xml#L129
prot-1890--fk--6,2,i-3iqF8PkVvUgirJtCuizsS3,2 Lördagen den ,,,,https://betalab.kb.se/prot-1890--fk--6/prot_1890__fk__6-001.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--fk--6.xml#L132
