protocol_id,x,elem_id,text,segmentation,seg_type,speaker,comments,facs,github,checked
prot-1870--ak--0314,36,i-5uLwGBTDFb6cMeKHUw9GeY,"76 Den 14 Mars,",note,margin,,,https://betalab.kb.se/prot-1870--ak--0314/prot_1870__ak__0314-035.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1870/prot-1870--ak--0314.xml#L2595,True
prot-1870--ak--0314,36,i-9Ddn6dsUmAuXAHkKVh4yV3,Af Hofrätternas,u,,Q52950,"Speaker is justice minister, but not lised as such in minister.csv",https://betalab.kb.se/prot-1870--ak--0314/prot_1870__ak__0314-035.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1870/prot-1870--ak--0314.xml#L2598,True
prot-1870--ak--0314,36,i-R7WwzCkKjKCxZfD6XRBBZ7,Då diskussionen,u,,Q52950,"Speaker is justics minister, but not listed as such on minister.csv",https://betalab.kb.se/prot-1870--ak--0314/prot_1870__ak__0314-035.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1870/prot-1870--ak--0314.xml#L2618,True
prot-1870--ak--0314,36,i-FK9VWHNAqct3eaTdh4DaQN,i konselj oftar,u,,Q52950,^,https://betalab.kb.se/prot-1870--ak--0314/prot_1870__ak__0314-035.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1870/prot-1870--ak--0314.xml#L2644,True
prot-1870--ak--0314,36,i-Wc925vtZey1sGM4etByLqR,Herr Axel Bergs,note,intro,,,https://betalab.kb.se/prot-1870--ak--0314/prot_1870__ak__0314-035.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1870/prot-1870--ak--0314.xml#L2648,True
prot-1870--ak--0314,36,i-L1MWo33dVes54ccHMNcEy3,Jag har begärt ,u,,Q5573272,,https://betalab.kb.se/prot-1870--ak--0314/prot_1870__ak__0314-035.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1870/prot-1870--ak--0314.xml#L2651,True
prot-1870--ak--0423,73,i-MZEQUr3HtvWTpXHdC4JA5o,456 Den 23 Apri,note,margin,,,https://betalab.kb.se/prot-1870--ak--0423/prot_1870__ak__0423-072.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1870/prot-1870--ak--0423.xml#L5281,True
prot-1870--ak--0423,73,i-EQzUEKcCabBUo8qFUrQuAt,Denna åsigt om ,u,,Q6244387,,https://betalab.kb.se/prot-1870--ak--0423/prot_1870__ak__0423-072.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1870/prot-1870--ak--0423.xml#L5285,True
prot-1870--ak--0423,73,i-6r9TdBMwr9Y4nZJhCibZVs,Afven om det öf,u,,Q6244387,,https://betalab.kb.se/prot-1870--ak--0423/prot_1870__ak__0423-072.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1870/prot-1870--ak--0423.xml#L5304,True
prot-1870--ak--0427,41,i-LZrvy8T75W7so4nnF9ZUJM,"Den 27 April, e",note,margin,,,https://betalab.kb.se/prot-1870--ak--0427/prot_1870__ak__0427-040.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1870/prot-1870--ak--0427.xml#L3084,True
prot-1870--ak--0427,41,i-E4kxPqDCC1ueBK5khi2w95,"tjenstemännen, ",u,,Q105104304,,https://betalab.kb.se/prot-1870--ak--0427/prot_1870__ak__0427-040.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1870/prot-1870--ak--0427.xml#L3088,True
prot-1870--ak--0427,41,i-LkJUvYe7VMEMGMoQxMwNyu,Herr Rundgren:,note,intro,,,https://betalab.kb.se/prot-1870--ak--0427/prot_1870__ak__0427-040.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1870/prot-1870--ak--0427.xml#L3094,True
prot-1870--ak--0427,41,i-FQpxcVxEnt67B7ykpwoxju,Sedan jag genom,u,,Q6083461,,https://betalab.kb.se/prot-1870--ak--0427/prot_1870__ak__0427-040.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1870/prot-1870--ak--0427.xml#L3098,True
prot-1870--ak--0427,41,i-WBw3hpq7gphFRYTp8SNzYb,Talrika omständ,u,,Q6083461,,https://betalab.kb.se/prot-1870--ak--0427/prot_1870__ak__0427-040.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1870/prot-1870--ak--0427.xml#L3127,True
