,protocol_id,x,elem_id,text,segmentation,speaker,comments,facs,github,checked
0,prot-1910--ak--60,89,i-GK9aVyrRfV3gWoujJU2Y6c,Tisdagen den 31,note,,,https://betalab.kb.se/prot-1910--ak--60/prot_1910__ak__60-088.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/years1910to1920/corpus/protocols/1910/prot-1910--ak--60.xml#L6933,True
1,prot-1910--ak--60,89,i-AakzddGmGE1c2Dt7krrDAP,"skulle uppstå, ",u,Q6177812,,https://betalab.kb.se/prot-1910--ak--60/prot_1910__ak__60-088.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/years1910to1920/corpus/protocols/1910/prot-1910--ak--60.xml#L6937,True
2,prot-1910--ak--60,89,i-GKLnEKN8MuR1BJ1So8ytBi,Detta har offen,u,Q6177812,,https://betalab.kb.se/prot-1910--ak--60/prot_1910__ak__60-088.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/years1910to1920/corpus/protocols/1910/prot-1910--ak--60.xml#L6982,True
3,prot-1910--ak--60,89,i-CBxQNnebE6GgEssN5yAjvk,Här yttrade nu ,u,Q6177812,,https://betalab.kb.se/prot-1910--ak--60/prot_1910__ak__60-088.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/years1910to1920/corpus/protocols/1910/prot-1910--ak--60.xml#L6991,True
4,prot-1910--ak--60,89,i-NeLvYp7rM4WMSe9mfnmjYN,Nr 60.,note,,margin,https://betalab.kb.se/prot-1910--ak--60/prot_1910__ak__60-088.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/years1910to1920/corpus/protocols/1910/prot-1910--ak--60.xml#L6997,True
5,prot-1910--ak--60,89,i-8NWkDPabMmK2hVR6SLZtii,Ang. farled mel,note,,margin,https://betalab.kb.se/prot-1910--ak--60/prot_1910__ak__60-088.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/years1910to1920/corpus/protocols/1910/prot-1910--ak--60.xml#L7000,True
6,prot-1910--fk--10,31,i-CKUECg5abSzmXGKyKDHc5u,Lördagen den 26,note,,,https://betalab.kb.se/prot-1910--fk--10/prot_1910__fk__10-030.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/years1910to1920/corpus/protocols/1910/prot-1910--fk--10.xml#L2345,True
7,prot-1910--fk--10,31,i-NYAY7bCSDSyCg2M4XXk8wo,"beslut, ty man ",u,Q6078673,,https://betalab.kb.se/prot-1910--fk--10/prot_1910__fk__10-030.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/years1910to1920/corpus/protocols/1910/prot-1910--fk--10.xml#L2349,True
8,prot-1910--fk--10,31,i-DcxyjrL6192oDW7ShjZhrA,På grund af hva,u,Q6078673,,https://betalab.kb.se/prot-1910--fk--10/prot_1910__fk__10-030.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/years1910to1920/corpus/protocols/1910/prot-1910--fk--10.xml#L2361,True
9,prot-1910--fk--10,31,i-AG8b3s2tikdbnTiyauirL2,Herr Barthelson,note,,intro,https://betalab.kb.se/prot-1910--fk--10/prot_1910__fk__10-030.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/years1910to1920/corpus/protocols/1910/prot-1910--fk--10.xml#L2365,True
10,prot-1910--fk--10,31,i-DMXRS5LSjyNA7B2QuvcEqS,Jag har blifvit,u,Q5566549,,https://betalab.kb.se/prot-1910--fk--10/prot_1910__fk__10-030.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/years1910to1920/corpus/protocols/1910/prot-1910--fk--10.xml#L2369,True
11,prot-1910--fk--10,31,i-GYcPTQUcpMm2kGRNyd2PXu,Den ärade talar,u,Q5566549,,https://betalab.kb.se/prot-1910--fk--10/prot_1910__fk__10-030.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/years1910to1920/corpus/protocols/1910/prot-1910--fk--10.xml#L2387,True
12,prot-1910--fk--10,31,i-6ravnSXiMufDkgtkr2iQeg,Herr Liedberg:,note,,intro,https://betalab.kb.se/prot-1910--fk--10/prot_1910__fk__10-030.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/years1910to1920/corpus/protocols/1910/prot-1910--fk--10.xml#L2397,True
13,prot-1910--fk--10,31,i-V2QsdVxGEfHq4DUJiyMrE1,Jag har icke my,u,Q5950822,,https://betalab.kb.se/prot-1910--fk--10/prot_1910__fk__10-030.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/years1910to1920/corpus/protocols/1910/prot-1910--fk--10.xml#L2401,True
14,prot-1910--fk--10,31,i-XR55QkgttiAksRZwyWGWhy,Då den allmänna,u,Q5950822,,https://betalab.kb.se/prot-1910--fk--10/prot_1910__fk__10-030.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/years1910to1920/corpus/protocols/1910/prot-1910--fk--10.xml#L2407,True
15,prot-1910--fk--10,31,i-R7ytihNnyTEKkdfNnz3VoA,"Nr 10,",note,,margin,https://betalab.kb.se/prot-1910--fk--10/prot_1910__fk__10-030.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/years1910to1920/corpus/protocols/1910/prot-1910--fk--10.xml#L2417,True
16,prot-1910--fk--10,31,i-RfXoKapLTFGL88rUSfYixr,Om kostnadsfri ,note,,margin,https://betalab.kb.se/prot-1910--fk--10/prot_1910__fk__10-030.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/years1910to1920/corpus/protocols/1910/prot-1910--fk--10.xml#L2421,True
17,prot-1911--ak--47,57,i-41uXSJzKrwj4jjnpmdKhEH,Lördagen den 13,note,,,https://betalab.kb.se/prot-1911--ak--47/prot_1911__ak__47-056.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/years1910to1920/corpus/protocols/1911/prot-1911--ak--47.xml#L4756,True
