protocol_id,x,elem_id,text,segmentation,seg_type,speaker,comments,facs,github
prot-1880--ak--22,40,i-8obHGvmJsePYW3WpS6cq7,N:o 22.,,,,,https://betalab.kb.se/prot-1880--ak--22/prot_1880__ak__22-039.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1880s/corpus/protocols/1880/prot-1880--ak--22.xml#L3362
prot-1880--ak--22,40,i-Hv9p7KM2ukJyWWbHmGJm5w,Om anslaget til,,,,,https://betalab.kb.se/prot-1880--ak--22/prot_1880__ak__22-039.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1880s/corpus/protocols/1880/prot-1880--ak--22.xml#L3365
prot-1880--ak--22,40,i-D1VcZo79RUM6ULjBK3BVma,skeppsgosse-,,,,,https://betalab.kb.se/prot-1880--ak--22/prot_1880__ak__22-039.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1880s/corpus/protocols/1880/prot-1880--ak--22.xml#L3369
prot-1880--ak--22,40,i-GrS84PZkeVoV2gbzJC5XYU,corpserna. (For,,,,,https://betalab.kb.se/prot-1880--ak--22/prot_1880__ak__22-039.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1880s/corpus/protocols/1880/prot-1880--ak--22.xml#L3373
prot-1880--ak--22,40,i-3usVncZdVRi5EzqALW8FGD,40 Onsdagen den,,,,,https://betalab.kb.se/prot-1880--ak--22/prot_1880__ak__22-039.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1880s/corpus/protocols/1880/prot-1880--ak--22.xml#L3376
prot-1880--ak--22,40,i-RJGnrzWyT9xa11g4GoRoCh,sök på Skeppsho,,,,,https://betalab.kb.se/prot-1880--ak--22/prot_1880__ak__22-039.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1880s/corpus/protocols/1880/prot-1880--ak--22.xml#L3382
prot-1880--ak--22,40,i-7HAVakoG4jrcF5vQrkaSTE,Jag har velat a,,,,,https://betalab.kb.se/prot-1880--ak--22/prot_1880__ak__22-039.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1880s/corpus/protocols/1880/prot-1880--ak--22.xml#L3435
prot-1880--ak--40,29,i-XTptV1Q62KMFZkct2PPp2r,Lördagen den 17,,,,,https://betalab.kb.se/prot-1880--ak--40/prot_1880__ak__40-028.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1880s/corpus/protocols/1880/prot-1880--ak--40.xml#L2382
prot-1880--ak--40,29,i-9LXgJSHxsxGQfqmXX23tfg,Riksdagen och f,,,,,https://betalab.kb.se/prot-1880--ak--40/prot_1880__ak__40-028.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1880s/corpus/protocols/1880/prot-1880--ak--40.xml#L2386
prot-1880--ak--40,29,i-DFF4MSGJ19GdDXz4dA7575,Inom Arméförval,,,,,https://betalab.kb.se/prot-1880--ak--40/prot_1880__ak__40-028.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1880s/corpus/protocols/1880/prot-1880--ak--40.xml#L2415
prot-1880--ak--40,29,i-12ZZcJi2KHbMFwKm5opCo8,Häröfver få kom,,,,,https://betalab.kb.se/prot-1880--ak--40/prot_1880__ak__40-028.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1880s/corpus/protocols/1880/prot-1880--ak--40.xml#L2423
prot-1880--ak--40,29,i-X8WZnqxsjzBshvCmdafnDb,"Nu påstås, att ",,,,,https://betalab.kb.se/prot-1880--ak--40/prot_1880__ak__40-028.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1880s/corpus/protocols/1880/prot-1880--ak--40.xml#L2439
prot-1880--ak--40,29,i-DDRsfTLW5imZppt2hbzW1i,N:o 40.,,,,,https://betalab.kb.se/prot-1880--ak--40/prot_1880__ak__40-028.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1880s/corpus/protocols/1880/prot-1880--ak--40.xml#L2450
prot-1880--ak--40,29,i-UXscMeYMn4Rq2fHQ7CFSF1,Angående ny lön,,,,,https://betalab.kb.se/prot-1880--ak--40/prot_1880__ak__40-028.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1880s/corpus/protocols/1880/prot-1880--ak--40.xml#L2453
prot-1880--ak--42,30,i-HsURGSAX8zoGnte1XkUz6y,N:o 42.,,,,,https://betalab.kb.se/prot-1880--ak--42/prot_1880__ak__42-029.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1880s/corpus/protocols/1880/prot-1880--ak--42.xml#L2154
prot-1880--ak--42,30,i-E94ecHCzS3tmPoWm7KQgf4,Förordning angå,,,,,https://betalab.kb.se/prot-1880--ak--42/prot_1880__ak__42-029.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1880s/corpus/protocols/1880/prot-1880--ak--42.xml#L2157
prot-1880--ak--42,30,i-S6LaYMiUbiHzi1vEfQWWvQ,30 Onsdagen den,,,,,https://betalab.kb.se/prot-1880--ak--42/prot_1880__ak__42-029.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1880s/corpus/protocols/1880/prot-1880--ak--42.xml#L2161
prot-1880--ak--42,30,i-46qW2iyhkxX42DmDCFB7tW,att en sådan la,,,,,https://betalab.kb.se/prot-1880--ak--42/prot_1880__ak__42-029.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1880s/corpus/protocols/1880/prot-1880--ak--42.xml#L2164
prot-1880--ak--42,30,i-LDLha4HMVcKSGnRUyVpnf5,1:0) att sådane,,,,,https://betalab.kb.se/prot-1880--ak--42/prot_1880__ak__42-029.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1880s/corpus/protocols/1880/prot-1880--ak--42.xml#L2171
