protocol_id,x,elem_id,text,segmentation,seg_type,speaker,comments,facs,github
prot-197677--13,6,i-M1xA12T8nSKg99dt83gNHi,Nr 13 Herr HERM,,,,,https://betalab.kb.se/prot-197677--13/prot_197677__13-005.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/missing-1976-77/corpus/protocols/197677/prot-197677--13.xml#L534
prot-197677--13,6,i-NdtLUjq9cSB45hYX2SKyJH,|,,,,,https://betalab.kb.se/prot-197677--13/prot_197677__13-005.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/missing-1976-77/corpus/protocols/197677/prot-197677--13.xml#L537
prot-197677--13,6,i-W12tztdgvLk1BgfbMScCys,Torsdagen den H,,,,,https://betalab.kb.se/prot-197677--13/prot_197677__13-005.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/missing-1976-77/corpus/protocols/197677/prot-197677--13.xml#L541
prot-197677--13,6,i-HonaA4p23MPNcWsgofxBR6,21 oktober 1976,,,,,https://betalab.kb.se/prot-197677--13/prot_197677__13-005.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/missing-1976-77/corpus/protocols/197677/prot-197677--13.xml#L547
prot-197677--13,6,i-DZnDmDCgfoXmtASQqG8fZc,o gäller räntep,,,,,https://betalab.kb.se/prot-197677--13/prot_197677__13-005.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/missing-1976-77/corpus/protocols/197677/prot-197677--13.xml#L553
prot-197677--13,6,i-KHaoec4HkqjH2TynYwafvM,Om åtgärder för,,,,,https://betalab.kb.se/prot-197677--13/prot_197677__13-005.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/missing-1976-77/corpus/protocols/197677/prot-197677--13.xml#L558
prot-197677--13,6,i-8sKSUXtMqUok37QDAHsGB,trygga sysselsä,,,,,https://betalab.kb.se/prot-197677--13/prot_197677__13-005.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/missing-1976-77/corpus/protocols/197677/prot-197677--13.xml#L564
prot-197677--13,6,i-NJugtkmvpdrD5MMMgcty8E,ningen i Flen a,,,,,https://betalab.kb.se/prot-197677--13/prot_197677__13-005.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/missing-1976-77/corpus/protocols/197677/prot-197677--13.xml#L570
prot-197677--13,6,i-PNAa3eydzxk8ToNbcoWLjq,: ”Om — -—- en ,,,,,https://betalab.kb.se/prot-197677--13/prot_197677__13-005.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/missing-1976-77/corpus/protocols/197677/prot-197677--13.xml#L578
prot-197677--13,6,i-8kTBQFy9oSnvxgvnsDBoS,Jag tror det är,,,,,https://betalab.kb.se/prot-197677--13/prot_197677__13-005.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/missing-1976-77/corpus/protocols/197677/prot-197677--13.xml#L586
prot-197677--13,6,i-CDnUV1TUrLhqesk6Ns6woK,Överläggningen ,,,,,https://betalab.kb.se/prot-197677--13/prot_197677__13-005.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/missing-1976-77/corpus/protocols/197677/prot-197677--13.xml#L591
