year,v0.10.0,v0.12.0,v0.13.0,v0.13.1,v0.14.0
1867,149.0,149.0,149.0,149.0,149.0
1868,130.0,130.0,130.0,130.0,130.0
1869,123.0,123.0,123.0,123.0,123.0
1870,129.0,129.0,129.0,129.0,129.0
1871,160.0,160.0,160.0,160.0,160.0
1872,123.0,123.0,123.0,123.0,123.0
1873,148.0,148.0,148.0,148.0,148.0
1874,152.0,152.0,152.0,152.0,152.0
1875,103.0,103.0,103.0,103.0,103.0
1876,95.0,95.0,95.0,95.0,95.0
1877,107.0,107.0,107.0,107.0,107.0
1878,112.0,112.0,112.0,112.0,112.0
1879,103.0,103.0,103.0,103.0,103.0
1880,104.0,104.0,104.0,104.0,104.0
1881,85.0,85.0,85.0,85.0,85.0
1882,113.0,113.0,113.0,113.0,113.0
1883,118.0,118.0,118.0,118.0,118.0
1884,94.0,94.0,94.0,94.0,94.0
1885,109.0,109.0,109.0,109.0,109.0
1886,103.0,103.0,103.0,103.0,103.0
1887,86.0,86.0,86.0,86.0,86.0
1888,94.0,94.0,94.0,94.0,94.0
1889,94.0,94.0,94.0,94.0,94.0
1890,85.0,85.0,85.0,85.0,85.0
1891,88.0,88.0,88.0,88.0,88.0
1892,102.0,102.0,102.0,102.0,102.0
1893,79.0,79.0,79.0,79.0,79.0
1894,92.0,92.0,92.0,92.0,92.0
1895,81.0,81.0,81.0,81.0,81.0
1896,79.0,79.0,79.0,79.0,79.0
1897,78.0,78.0,78.0,78.0,78.0
1898,77.0,77.0,77.0,77.0,77.0
1899,69.0,69.0,69.0,69.0,69.0
1900,96.0,96.0,96.0,96.0,96.0
1901,81.0,81.0,81.0,81.0,81.0
1902,93.0,93.0,93.0,93.0,93.0
1903,129.0,129.0,129.0,129.0,129.0
1904,126.0,126.0,126.0,126.0,126.0
1905,136.0,136.0,136.0,136.0,136.0
1906,120.0,120.0,120.0,120.0,120.0
1907,126.0,126.0,126.0,126.0,126.0
1908,139.0,139.0,139.0,139.0,139.0
1909,122.0,122.0,122.0,122.0,122.0
1910,103.0,103.0,103.0,103.0,103.0
1911,93.0,93.0,93.0,93.0,93.0
1912,97.0,97.0,97.0,97.0,97.0
1913,97.0,97.0,97.0,97.0,97.0
