id,type,x,y,w,h,content,seg,intro,note
https://betalab.kb.se/prot-1920--ak--18#1-41-cblock_0-block_0,Text,617,151,829,28,"Onsdagen den 15 februuri. 41\n""
",0,0,1
https://betalab.kb.se/prot-1920--ak--18#1-41-cblock_1-block_1,Text,148,225,1302,80,"om ni icke gå med på vår ståndpunkt, så kommer den eller den olyckan\n att uppstå. Punkt och slut.\n""
",1,0,0
https://betalab.kb.se/prot-1920--ak--18#1-41-cblock_1-block_2,Text,148,308,1304,158,"Så har det blivit undan för undan här i riksdagen, och för varje\nviktig fråga, som kommer fram, märker man mer och mer, huru ogrässkördarna\n från Folkets hus bakgård spira allt frodigare här i kammaren.\n\n""
",1,0,0
https://betalab.kb.se/prot-1920--ak--18#1-41-cblock_1-block_3,Text,148,476,1306,294,"För några år sedan motionerade jag här om en internationell exekutiv\n makt. Jag skall nu icke gå in på att referera saken närmare;\nde som voro närvarande minnas det nog, och de som icke voro det,\nkunna taga reda på, hur jag skisserade upp, hur den skulle se ut.\nEnligt mitt förslag skulle Europas arbetarsammanslutningar vidtaga\nhelt andra åtgärder än dittills för att förbereda sig — detta var några\når före världskrigets utbrott — så att man kunde förhindra krig.\n""
",1,0,0
https://betalab.kb.se/prot-1920--ak--18#1-41-cblock_1-block_4,Text,148,771,1307,208,"Motionen blev naturligtvis vederbörligen avhånad, främst inom\ndet parti, jag då tillhörde, såsom naturligtvis alla motioner böra bli,\nnär de framföras av män i underordnad ställning, vilka icke hava\nnågon betydelse inom partiet och som icke äga tillräckligt långa trynen\n och starka bogar för att tränga sig fram i främsta ledet.\n""
",1,0,0
https://betalab.kb.se/prot-1920--ak--18#1-41-cblock_1-block_5,Text,149,981,1308,293,"Naturligtvis hade mitt förslag sina svagheter, men ett vet jag,\noch det var, att jag därmed åsyftade, att man skulle göra ett allvarligt\n försök från alla jordens organiserade arbetare och även andra\nhåll bl. a. riksdagarna, att vidtaga åtgärder för att förhindra krig. —\nVad det här är fråga om med detta nationernas förbund är enligt\nmin mening icke några åtgärder att förhindra kriget; jag ser det mer\nsom en åtgärd att förbereda kriget.\n""
",1,0,0
https://betalab.kb.se/prot-1920--ak--18#1-41-cblock_1-block_6,Text,150,1277,1309,1011,"Hurudan är ställningen i Europa för närvarande? Jo, den är\ntill punkt och pricka densamma, som den var vid 1800-talets början.\nGenom den politik, som från segrarnas sida bedrives — framtiden må\ndöma, om den är klok eller ej — har Europa mer än någonsin förr\nblivit klyvt i tvenne hätska hälfter, lika hätska som någonsin Napoleon\n och de koalitioner, som bildades mot honom, voro mot varandra.\n Jag befarar, och jag är tämligen säker därpå, att ur denna\nmotsatsställning mellan Europas folk kommer det att växa fram en\nen ny Napoleon, så sant som nästan allt går igen och allting i historien\n i synnerhet. Jag ser redan Napoleons spöke skymta, och ni\nkunna vara förvissade, mina herrar, att han kommer igen. Genom\nden politik, som nu bedrives, skola vi här 1 Europa få se först en\nframtvingad samling på ekonomisk grundval mellan Tyskland och\nRyssland, samt andra stater i Öst- eller Centraleuropa, och så kommer\n måhända ur denna framtvingade samling på ekonomisk grund\natt framgå en sammanslutning för militära ändamål. Sedan kan\nNapoleonsagan komma att upprepas, och så ha vi krigets alla olyckor\n över oss igen. Detta inser ententen, och därför vill man vidtaga\nåtgärder för att i denna form trygga segern och freden i Versailles.\nMan inser det ohållbara hos ett nationernas förbund, till vilket man\nicke inbjuder de forna fiendestaterna. Detta inser även Amerika, och\ndärför vill det icke ansluta sig till nationernas förbund. Däriör\n borde också vi med vårt gynnsamma geografiska läge taga\noss åtskilliga funderare, innan vi bestämma oss för att säga ja eller\n""
",1,0,0
https://betalab.kb.se/prot-1920--ak--18#1-41-cblock_2-block_7,Text,1507,151,97,27,"Nr 18.\n""
",0,0,1
https://betalab.kb.se/prot-1920--ak--18#1-41-cblock_3-block_8,Text,1471,229,192,137,"Vid remiss av\npropositionen\nnr 90.\n(Forts.)\n""
",0,0,1
https://betalab.kb.se/prot-1920--ak--27#1-5-cblock_0-block_0,Text,610,164,994,35,"Onsdagen den 10 mars. 5 Nr 2.\n""
",0,0,1
