protocol_id,elem_id,segmentation,comments,text,link,subset
prot-1910--fk--9,i-16QCzvUYV8XyHq4jaT9Nw,,,"Herr talman, mina herrar! Då jag genomläste den motion, som föreligger 1 förevarande punkt, syntes mig billigheten kräfva, att läraren A. Anderséns aflöning blefve så höjd, som motionären påyrkade, eller till 3,000 kronor. Sedermera har det för mig från sakkunnigt håll uppgifvits, att Andersén under utöfningen af sin långa tjänstemannagärning visat synnerligt nit och utvecklat stor skicklighet. Han har under sin mer än 30-åriga lärarverksamhet fullgjort så att säga en dubbel tjänstgöring, undervisat under dubbla antalet timmar per vecka mot hvad slika lärare pläga göra. Han bör därför nu, då han står vid slutet af sin tjänstetid, komma i åtnjutande af hela den lön, som kommer att utgå, sedan han från sin tjänstebefattning afgått — då tjänsten kommer att upp-",https://betalab.kb.se/prot-1910--fk--9/prot_1910__fk__9-011.jp2/_view,prot-1910--fk
prot-1910--fk--12,i-19ok989VJskX4e64FD2gU,,,Föredrogs och hänvisades till bankoutskottet Kungl. Maj:ts denna dag aflämnade nådiga proposition till Riksdagen angående beredande af pension från allmänna indragningsstaten åt städerskan vid krigsskolan Sofia Charlotta Andersson.,https://betalab.kb.se/prot-1910--fk--12/prot_1910__fk__12-002.jp2/_view,prot-1910--fk
prot-1910--fk--15,i-1EhMvn5frPThp7oJb5ziw,,,"Vid ånyo skedd föredragning af lagutskottets den 11 och 12 i denna månad bordlagda utlåtande nr 31 i anledning af väckta motioner om ändrad lydelse af 16'8 2 och 6 mom. värnpliktslagen, biföll kammaren hvad utskottet i detta utlåtande hemställt.",https://betalab.kb.se/prot-1910--fk--15/prot_1910__fk__15-062.jp2/_view,prot-1910--fk
prot-1910--ak--27,i-118M6FjqPGeS8SzhPFdFz,,,"Herrarne finna af betänkandet, att undertecknad afgifvit en reservation; under det en annan reservation är afgifven af åtskilliga andra ledamöter från Andra kammaren i utskottet. Då dessa reservationer skilja sig något från hvarandra, skall jag anhålla att nu få klargöra min ståndpunkt, och hvad jag åsyftar med min reservation.",https://betalab.kb.se/prot-1910--ak--27/prot_1910__ak__27-051.jp2/_view,prot-1910--ak
prot-1910--ak--62,i-15EzoGTFeuEvUvCQUPn9T,,,stämmelsen intages bland villkoren för öfverlåtelsen. stad af vissa,https://betalab.kb.se/prot-1910--ak--62/prot_1910__ak__62-018.jp2/_view,prot-1910--ak
prot-1910--ak--21,i-18KqDPmqegiyr5yjSiQMu,,,"Voteringen utvisade 105 ja mot 83 nej, hvadan kammaren, med afslag å utskottets hemställan, bifallit den af herr Widén m. f. i ämnet afgifna reservationen.",https://betalab.kb.se/prot-1910--ak--21/prot_1910__ak__21-013.jp2/_view,prot-1910--ak
prot-1911--fk--13,i-11MSo6GBQAAy9YuSfUFq1,,,"Sedan öfverläggningen ansetts härmed slutad, gjordes jämlikt därunder förekomna yrkanden propositioner, först på bifall till hvad utskottet i förevarande punkt hemställt samt vidare därpå att kammaren skulle antaga det förslag, som innefattades i den vid punkten afgifna reservationen; och förklarades den senare propositionen vara med öfvervägande ja besvarad.",https://betalab.kb.se/prot-1911--fk--13/prot_1911__fk__13-046.jp2/_view,prot-1911--fk
prot-1911--fk--24,i-11yRZBATbJhMJv5ubcByG,,,"Enligt min åsikt borde ett sådant tillägg icke kunna stöta någon, hvarken de stora eller små bankerna. De anspråk, jag framställer, äro ganska små, och jag har stöd för min framställning både i kommitténs och i Kungl. Maj: ts första förslag, som gick mycket längre. Jag har äfven delvis ett stöd i Kungl. ""Maj:ts sista förslag, där föredragande departementschefen i denna fråga säger, att det icke kan betecknas såsom obilligt, att en ökad marknad inom landet beredes våra statsobligationer på samma gång ett såsom kassareserv synnerligen lämpligt papper uppföres i bankernas portfölj. Detta är uttaladt af finansministern själl.",https://betalab.kb.se/prot-1911--fk--24/prot_1911__fk__24-086.jp2/_view,prot-1911--fk
prot-1911--fk--9,i-112aEvTz9ZqhxRKPPUcncm,,,"man utan vidare till godo med att taga till extra ordinarie lärare personer, som icke ens aflagt någon akademisk examen. — Hur",https://betalab.kb.se/prot-1911--fk--9/prot_1911__fk__9-020.jp2/_view,prot-1911--fk
prot-1911--ak--6,i-11Bq9WCC42KYiBBpJG5FU,,,"ÖStersUNAÅ oosoosseesreer rer errrrerrrrrr rer er r ense rr rd herr Engström, E. O0., landstingsman, Bispgården > Sundin, E., £. d. riksdagsman, Hallen ......",https://betalab.kb.se/prot-1911--ak--6/prot_1911__ak__6-005.jp2/_view,prot-1911--ak
prot-1911--ak--9,i-112Vt2yF9DfxbGDzaQPUrJ,,,Ang. nedre justitierevisionen.,https://betalab.kb.se/prot-1911--ak--9/prot_1911__ak__9-053.jp2/_view,prot-1911--ak
