protocol_id,elem_id,speaker_name,speaker_i_ort,speaker_party,speaker_born,speaker_wiki_id,comments,text,link,Resposibility
prot-1931--ak--43,i-WaRR5qVnAToeMJLPxjyPhH,Robert Jansson,Jansson i Falun,Socialdemokraterna,7 June 1868,Q5879850,,Herr Jansson i Falun:,https://betalab.kb.se/prot-1931--ak--43/prot_1931__ak__43-061.jp2/_view,Fredrik
prot-1931--ak--31,i-WaYjx1B3kpmWFGAjVsex9T,Björn Holmgren,Holmgren i Karlskrona,"Högerpartiet, Lantmanna- och borgarpartiet",28 June 1872,Q5811441,,Herr Holmgren:,https://betalab.kb.se/prot-1931--ak--31/prot_1931__ak__31-113.jp2/_view,Fredrik
prot-1932--fk--7,i-U1EWeDyNaghJ9D42BUgQSP,Herman Kvarnzelius,"Kvarnzelius i Signelund, Kvarnzelius i Orsa, Kvarnzelius i Falun","Liberala samlingspartiet, Folkpartiet (1895 — 1899), Liberala riksdagspartiet, Folkpartiet",13 November 1864,Q5927431,,Herr Kvarnzelius:,https://betalab.kb.se/prot-1932--fk--7/prot_1932__fk__7-002.jp2/_view,Fredrik
prot-1932--fk--37,i-U1hugaxkifG4CAqne33oqr,Ture Nerman,Nerman i Stockholm,"Socialistiska partiet, Kilbomspartiet, Socialdemokraterna",18 May 1886,Q538109,,Herr Nerman:,https://betalab.kb.se/prot-1932--fk--37/prot_1932__fk__37-042.jp2/_view,Fredrik
prot-1932--fk--11,i-U2k2QB37bWHsVSV3q21uVg,Ivar Vennerström,Vennerström i Sollefteå,Socialdemokraterna,9 November 1881,Q4570723,,Herr Vennerström:,https://betalab.kb.se/prot-1932--fk--11/prot_1932__fk__11-011.jp2/_view,Fredrik
prot-1932--ak--46,i-QocfgnU62tgcZvBUXqfgcF,Gunnar Falla,Persson i Falla,"Lantmanna- och borgarpartiet, Högerpartiet",22 May 1885,Q5724702,"At this time he was named Gunnar Persson, and after 1945 he was named Gunnar Falla (after his i-ort)",Herr Persson i Falla:,https://betalab.kb.se/prot-1932--ak--46/prot_1932__ak__46-066.jp2/_view,Fredrik
prot-1932--ak--45,i-QoqVwcdWrw8JGopgRtJawc,Per Edvin Sköld,"Sköld i Oxie, Sköld i Kämpinge, Sköld i Toftaröd",Socialdemokraterna,25 maj 1891,Q6180686,,Herr Sköld:,https://betalab.kb.se/prot-1932--ak--45/prot_1932__ak__45-055.jp2/_view,Fredrik
prot-1932--ak--35,i-QqmnW7mNcshb6caxUEBKRF,Harald Hallén,"Hallén i Torrskog, Hallén i Arvika",Socialdemokraterna,29 March 1884,Q5784568,,Herr Hallén:,https://betalab.kb.se/prot-1932--ak--35/prot_1932__ak__35-046.jp2/_view,Fredrik
prot-1933--fk--4,i-Yb8foCnyyR5UzL31Ljk6gh,Ernst Trygger,"Trygger i Uppsala, Trygger i Stockholm","Nationella partiet, Det förenade högerpartiet, Högerpartiet",27 October 1857,Q53633,,Herr Trygger:,https://betalab.kb.se/prot-1933--fk--4/prot_1933__fk__4-035.jp2/_view,Fredrik
prot-1933--fk--46,i-Yc4iewQJGEVP6wRNLXdwF7,Carl Forssell,Forssell i Stockholm,"Nationella partiet, Högerpartiet",4 October 188,Q5737543,,Herr Forssell:,https://betalab.kb.se/prot-1933--fk--46/prot_1933__fk__46-086.jp2/_view,Fredrik
prot-1933--fk--41,i-YcG9SKJmFgUxZVFpNU45o3,Carl Lindhagen,"Lindhagen i Stockholm, Lindhagen i Äppelviken, Lindhagen i Ålsten","Folkpartiet (1895 — 1899), Liberala sam lingspartiet, Socialdemokraterna, Socialdemokratiska vänsrergruppen",17 December 1860,Q55955,,Herr Lindhagen:,https://betalab.kb.se/prot-1933--fk--41/prot_1933__fk__41-005.jp2/_view,Fredrik
prot-1933--ak--33,i-RdttJdiVbsxCBGkwYoCYHw,Per Persson,Persson i Trången,Bondeförbundet,18 March 1869,Q6043613,,Herr Persson i Trången:,https://betalab.kb.se/prot-1933--ak--33/prot_1933__ak__33-019.jp2/_view,Fredrik
prot-1933--ak--50,i-RegYUqU4UrJpUJvgBMWfxX,Axel Lindqvist,"Lindqvist i Kosta, Lindqvist i Halmstad",Socialdemokraterna,23 October 1878,Q5957397,,Herr Lindqvist:,https://betalab.kb.se/prot-1933--ak--50/prot_1933__ak__50-078.jp2/_view,Fredrik
prot-1933--ak--48,i-Rgcmgyd5HJHa6VcNaC14Fs,Anton Björklund,Björklund i Hässleholm,Socialdemokraterna,24 March 1881,Q5577726,,Herr Björklund:,https://betalab.kb.se/prot-1933--ak--48/prot_1933__ak__48-067.jp2/_view,Fredrik
prot-1934--fk--16,i-YWmgrQX9VUeK5EA5xE72MQ,Axel Löfvander,Löfvander i Kvarnby,Bondeförbundet,16 April 1880,Q5969615,,Herr Löfvander:,https://betalab.kb.se/prot-1934--fk--16/prot_1934__fk__16-010.jp2/_view,Fredrik
prot-1934--fk--13,i-YXMk538PwXB4ZEMq87zror,Ture Nerman,Nerman i Stockholm,"Socialistiska partiet, Kilbomspartiet, Socialdemokraterna",18 May 1886,Q538109,,Herr Nerman:,https://betalab.kb.se/prot-1934--fk--13/prot_1934__fk__13-016.jp2/_view,Fredrik
prot-1934--fk--32,i-YZNWqe9CMH3dD1xm1Yqn9z,Gustaf Heüman,Heüman i Jönköping,s,18 September 1892,Q5804642,"OCR-fel, ändra till ""Herr Heüman:""",Herr Heiiman:,https://betalab.kb.se/prot-1934--fk--32/prot_1934__fk__32-004.jp2/_view,Fredrik
prot-1934--ak--42,i-RfwwAy4b8VVqLBAXn4UouV,Johan Brädefors,Brädefors i Notviken ,k,5 June 1888,Q5588938,"Thought: in the bio book he is tagged with party ""k"" (kommunistiskariksdagsgruppen), which is the former v (vänsterpartiet) of today. This raises questions about how we should lable party to MPs",Herr Brädefors:,https://betalab.kb.se/prot-1934--ak--42/prot_1934__ak__42-146.jp2/_view,Fredrik
