uuid,who,intro,name,correct,github,year,reason
i-3fG6YkfvnQdNJ19SaysnfK,Q6019906,Herr Nylander:,Nylander,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1920/prot-1920--fk--23.xml,1920,
i-6YoiZSpmN3YMKU8ppGhB6i,unknown,"Herr Nilsson i Landeryd, som yttrade:",Nilsson,0,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1920/prot-1920--ak--62.xml,1920,unknown
i-95KszUfUYU1tbDzUGF1Y7v,Q5970011,Herr Lövgren i Nyborg:,Lövgren,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1920/prot-1920--ak--31.xml,1920,
i-Nj2aWELvh9uHH1ezjfp7m,Q5972050,Herr Magnusson i Skövde:,Magnusson,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1921/prot-1921--ak--19.xml,1921,
i-PyzASciNwwutyij9nTRY9T,Q6086540,Herr Anderson i Råstock:,Anderson,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1921/prot-1921--ak--38.xml,1921,
i-YMzgTctvpXbU5quPER4KK1,Q5856613,Herr Falk:,Falk,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1921/prot-1921--ak--34.xml,1921,
i-MhuvSYaPxf1vynn1VH6FxG,Q53294,Herr Lindman:,Lindman,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1922/prot-1922--ak--4.xml,1922,
i-Czu7b428Rsg9vb6WRbyfHU,unknown,Herr Nilsson i Landeryd:,Nilsson,0,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1922/prot-1922--ak--24.xml,1922,unknown
i-38gpmb1rNZU8UwF2BBjkuj,Q5795712,Herr Hederstierna:,Hederstierna,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1922/prot-1922--fk--22.xml,1922,
i-MEFAC43Dv9gHMQTAqtiJr9,Q1347810,Herr Kilbom:,Kilbom,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1923/prot-1923--ak--13.xml,1923,
i-JQtPHv2bUtpqGPfHDpGp8e,Q5040976,Herr Winberg:,Winberg,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1923/prot-1923--fk--3.xml,1923,
i-EuW7DLSPjN8qSDYLbgyk9z,Q6029940,Herr Osberg:,Osberg,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1923/prot-1923--ak--40.xml,1923,
i-8b1y85UG5zJrd7ggoDrE5N,Q6255248,Herr Åkerlund:,Åkerlund,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1924/prot-1924--ak--43.xml,1924,
i-LqbAGgvvzwSG1Bx5iWiC7R,unknown,Herr statsrådet Läbeck:,Läbeck,0,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1924/prot-1924--fk--42.xml,1924,"unknown, ocr-error"
i-WQ87JoTUXGLuTXgjmk7z6L,Q5955520,Herr Linder:,Linder,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1924/prot-1924--fk--26.xml,1924,
i-3xCJxknWrSEfp57LKv3xge,Q6338909,Herr Weijne:,Weijne,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1925/prot-1925--ak--28.xml,1925,
i-Ez933e241sVHASZ2g6LVYH,Q16649624,Herr statsrådet Larsson avlämnade Kungl. Maj:,Larsson,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1925/prot-1925--fk--15.xml,1925,
i-Lzj9urbWuxGnLuGigM7p1H,Q5570408,Herr Bengtsson i Norup:,Bengtsson,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1925/prot-1925--ak--21.xml,1925,
i-EM4QX9Rufm3daWGTirR7P5,unknown,Häruti instämde herr Holmström i Gävle. Herr Öberg:,Öberg,0,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1926/prot-1926--ak--11.xml,1926,"tricky, wrong dict {'gender': 'man', 'specifier': 'Gävle', 'name': 'Herr Öberg'}"
i-YaCdDrC7xSCP4MPKiwcKbS,Q5553493,"Herr Anderson, Erik:",Erik Anderson,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1926/prot-1926--fk--33.xml,1926,
i-AUTPBwapW7fVtrGevSoDhT,Q6086670,Herr Röing:,Röing,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1926/prot-1926--ak--10.xml,1926,
i-8AMB73fu3LQZs16CLDGdpm,Q6027664,Herr Olsson i Kullenbergstorp:,Olsson,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1927/prot-1927--ak--26.xml,1927,
i-V8XqHajcQQCuLcPaxuVchb,Q6091726,Herr Sandberg:,Sandberg,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1927/prot-1927--ak--31.xml,1927,
i-MVHbH9Wi76cmY6XTFAaXG8,unknown,Herr andre vice talmannen Nilsson:,Nilsson,0,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1927/prot-1927--ak--13.xml,1927,unknown
i-WbWtXSHNePrW4okW8DqDuT,Q110617328,Herr Andersson i Katrineholm:,Andersson,0,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1928/prot-1928--ak--40.xml,1928,
i-NaSKkLzkH4dQdJoSzJrABs,Q2254365,Herr Månsson i Erlandsro:,Månsson,0,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1928/prot-1928--ak--37.xml,1928,"bug, should be Q6000296"
i-Dwv3bfAh2pf3hRDRf1gyrj,Q5080263,Herr Lindley:,Lindley,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1928/prot-1928--fk--35.xml,1928,
i-Vyzxcdx9dDvHs5vJBG97Jb,Q5942361,Herr Leander:,Leander,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1929/prot-1929--fk--26.xml,1929,
i-6L8uJNZ7EAgigakXPcjmxh,Q5340170,Herr Andersson i Stockholm:,Andersson,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1929/prot-1929--ak--42.xml,1929,
i-J15mqVuaJubXY7EX4u55yE,Q5602596,Herr Carleson:,Carleson,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1929/prot-1929--ak--36.xml,1929,
i-Ss3YG5nqWR8dyi8vbB21YQ,Q6168210,Herr Schlyter:,Schlyter,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1930/prot-1930--fk--8.xml,1930,
i-EJRtwYk8QxsvAAmuZXTexS,Q5968047,Herr statsrådet Lundvik:,Lundvik,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1930/prot-1930--fk--27.xml,1930,
i-54tLtAB29X9upiTSBW34mc,Q6198871,"Herr Svensson, Martin:",Martin Svensson,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1930/prot-1930--fk--34.xml,1930,
i-NtDuQ4oGSNGXx2xNGW3ZTX,Q5984018,Herr Mellén:,Mellén,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1931/prot-1931--fk--27.xml,1931,
i-WP95mjpGQwhr9MpbHsRpvp,Q53637,Herr Sandler:,Sandler,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1931/prot-1931--fk--22.xml,1931,
i-B7nAXmBDLdTj9WbQSzAF4w,Q6045861,Herr Petrén:,Petrén,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1931/prot-1931--fk--38.xml,1931,
i-Qf2FCvN7tN1JY3zeBn2j3F,Q6190872,Chefen för jordbruksdepartementet herr statsrådet von Stockenström:,von Stockenström,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1932/prot-1932--ak--54.xml,1932,
i-J82C7VyiWe8TvQstYgLw5M,Q1555406,"Herr Andersson i Rasjön, som yttrade:",Andersson,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1932/prot-1932--ak--58.xml,1932,
i-JKuKuKziW7cGKsR748iL26,Q6037657,Herr Pauli:,Pauli,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1932/prot-1932--fk--15.xml,1932,
i-RWjKZFLiMFrHfeHBnGZumP,Q6218297,Herr Törnkvist i Karlskrona:,Törnkvist,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1933/prot-1933--ak--34.xml,1933,
i-9HgFMaErxM8bpV11wDj785,Q6086540,Herr Anderson i Råstock:,Anderson,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1933/prot-1933--ak--20.xml,1933,
i-EJdJ4cJt3iHkncL1KcV88g,Q6203654,Herr Tamm:,Tamm,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1933/prot-1933--fk--38.xml,1933,
i-BjrMEXdKSerwqnvouJTzW,Q5946756,Herr statsrådet Leo avlämnade Kungl. Maj:,Leo,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1934/prot-1934--fk--16.xml,1934,
i-YG9ocvXYBburNSCdcBHkAy,Q5972055,Herr Magnusson i Kalmar:,Magnusson,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1934/prot-1934--ak--46.xml,1934,
i-WmMscUNqMHQTg23jQ4d3V3,Q5340170,Herr Andersson i Stockholm:,Andersson,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1934/prot-1934--ak--19.xml,1934,
i-CCbMw4Nkj7fqucTstdLSga,Q5570408,"Herr Bengtsson i Norup, som anförde:",Bengtsson,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1935/prot-1935--ak--19.xml,1935,
i-XtU5NDDUwicSAUV3J4o6cy,Q4353489,Herr Westman:,Westman,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1935/prot-1935--fk--21.xml,1935,
i-CgbvrUmMrEuj3puuTD37PF,Q6192576,Herr Strindlund:,Strindlund,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1935/prot-1935--ak--19.xml,1935,
i-HfcUmzv6PUTV9TXEsp3rLp,Q5957397,Herr Lindqvist:,Lindqvist,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1936/prot-1936--ak--7.xml,1936,
i-8jahbe9v9AAb6jD8dz4rQH,Q6029940,Herr Osberg:,Osberg,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1936/prot-1936--ak--33.xml,1936,
i-xhJ6oiHxwghxjVQknPNVc,Q6019836,Herr Nylander:,Nylander,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1936/prot-1936--fk--46.xml,1936,
i-55LzXiXBufzLqCZvtdEqJ1,Q5737543,Herr Forssell:,Forssell,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1937/prot-1937--fk--38.xml,1937,
i-Rz36N6YRnaRFjkm7QkfBEN,Q5621134,Herr Johanson i Hallagården:,Johanson,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1937/prot-1937--ak--29.xml,1937,
i-XzZhw1wQfNSVCyZUqfiogD,Q5577862,"Herr Björkman, Gustaf Adolf:",Gustaf Adolf Björkman,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1937/prot-1937--fk--24.xml,1937,
i-Kd2xWDkwMXDXVP7AoThcMe,Q5972050,"Herr andre vice talmannen Magnusson, som yttrade:",Magnusson,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1938/prot-1938--ak--31.xml,1938,
i-DQJ73yfbJExLCuhkX26Vvb,Q6017122,Herr Norman:,Norman,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1938/prot-1938--fk--36.xml,1938,
i-9Lx9FfJF5gSGRL3qTwG5XK,Q5572691,Herr Bergman:,Bergman,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1938/prot-1938--fk--36.xml,1938,
i-bAuNHk9Q5hAY7FShr1tga,unknown,Herr Heiiman:,Heiiman,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1939/prot-1939--fk--4.xml,1939,"unknown, ocr-error"
i-QNURPZyaammybGyGByUnrB,unknown,"Herr Olsson, Osear:",Osear Olsson,0,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1939/prot-1939--fk--21.xml,1939,"unknown, ocr-error"
i-DvH1bpoiqCCiVSzSkXMU7y,Q4710223,"Chefen för socialdepartementet, herr statsrådet Forslund, som
            nu på begäran erhöll ordet, yttrade:",Forslund,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1939/prot-1939--ak--34.xml,1939,
i-JoJ93Wpgs9fLmpfAp2kbMK,Q5811172,Herr Holmbäck:,Holmbäck,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1940/prot-1940--ak--30.xml,1940,
i-MRaHeh78UkuZLZEWMadFWh,Q298317,Herr Undén:,Undén,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1940/prot-1940--fk--11.xml,1940,
i-CvXytHT22hwLZwae9PCW2M,Q5726007,Herr Fast:,Fast,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1940/prot-1940--ak--29.xml,1940,
i-4gaRc4pzQnhtV5MVfDyyBZ,Q6026379,Herr Olsson i Gävle:,Olsson,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1941/prot-1941--ak--37.xml,1941,
i-VaHTKPpRUHJzR7k65FbXDF,Q5953475,Herr Lindberg i Umeå:,Lindberg,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1941/prot-1941--ak--28.xml,1941,
i-GGQ3bcXDQNTrqxZ2ENpDDg,Q5782085,Herr Hage:,Hage,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1941/prot-1941--ak--28.xml,1941,
i-WcnCUsPDNDW4zhQSUiRHhK,Q5563972,"Chefen för ecklesiastikdepartementet, herr statsrådet Bagge:",Bagge,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1942/prot-1942--ak--11.xml,1942,
i-KTSkBjfd6mmdX5qCAxVq6d,Q5553840,"Herr Andersson, Alfred:",Alfred Andersson,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1942/prot-1942--fk--17.xml,1942,
i-KDd8npdsVavadJPTFjk9W1,Q5959461,Herr Linnér:,Linnér,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1942/prot-1942--fk--26.xml,1942,
i-6tZuZgL64hMqw2u1TieB1a,unknown,Herr förste vice talmannen:,,0,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1943/prot-1943--fk--22.xml,1943,unknown
i-MAwowJkBoUvYAJkFVKtyin,Q6042992,Herr Persson i Stockholm:,Persson,0,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1943/prot-1943--ak--23.xml,1943,unclear if correct or incorrect
i-PQjwiUsZGH4LkAEHJVrDm,Q6026229,Herr Olson i Göteborg:,Olson,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1943/prot-1943--ak--11.xml,1943,
i-E1hzu8CurcAWhgLabXT9Vc,Q442028,Herr Hagberg i Luleå:,Hagberg,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1944/prot-1944-höst-ak--33.xml,1944,
i-C3YJBVZTT1FCMz6CHMXxYP,Q5938659,"Herr Larsson, Sam:",Sam Larsson,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1944/prot-1944-höst-fk--29.xml,1944,
i-6PUtTArGWTgGai3wZqpwck,Q6340875,Herr Wistrand:,Wistrand,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1944/prot-1944--fk--15.xml,1944,
i-9V3CYKRzHtvCVZSgx87Cwz,Q4970543,Fröken Nygren:,Nygren,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1945/prot-1945--ak--30.xml,1945,
i-EtEiwrruS73skKMgH2Cr3Z,Q5613767,Herr Cruse:,Cruse,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1945/prot-1945--ak--19.xml,1945,
i-FJdMSuADiKNEA7oYziN99J,Q5553863,Herr Andersson i Tungelsta:,Andersson,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1945/prot-1945--ak--3.xml,1945,
i-4JVjNb33KwhpKUrbuBw9Uy,Q442028,"Herr Hagberg i Luleå, som jämväl på begäran erhöll ordet för
            kort genmäle, yttrade:",Hagberg,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1946/prot-1946--ak--23.xml,1946,
i-D24HBnwvNLG684PSBpuboD,Q6082121,Herr Rubbestad:,Rubbestad,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1946/prot-1946-höst-ak--42.xml,1946,
i-AufZHsuevJZWondeAyPmry,Q5554662,Herr Andersson i Löbbo:,Andersson,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1946/prot-1946--ak--13.xml,1946,
i-6n6bGTH6JpUnuTeBWKz8JX,Q5577857,Herr Björkman:,Björkman,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1947/prot-1947--fk--34.xml,1947,
i-R5BQj3aTZmH3vJ2sC4yEkd,Q5781896,"Herr Hagberg i Malmö erhöll på begäran likaledes ordet för kort
            genmäle och anförde:",Hagberg,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1947/prot-1947--ak--31.xml,1947,
i-6SvRbYaCK5Jh23gVVGog38,Q5938368,Herr Larsson i Östersund:,Larsson,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1947/prot-1947--ak--21.xml,1947,
i-TzYPV8qGerRxAtrtjdF5wc,Q5623378,Herr DOMÖ:,DOMÖ,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1948/prot-1948-höst-fk--40.xml,1948,
i-NorobSczkikbPMky73Pf2W,Q5789491,"Herr HANSSON i Skediga erhöll på begäran ordet och yttrade: Herr
            tal-",HANSSON,0,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1948/prot-1948--ak--21.xml,1948,unclear if correct or incorrect
i-KWEaaMBDUc8x2Fyi51xS3k,Q6326156,Herr SEFVE erhöll på begäran ordet och anförde:,SEFVE,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1948/prot-1948-höst-ak--34.xml,1948,
i-24jfPXmNtfuVsWaoyV47ob,Q6059390,Herr statsrådet Quensel avlämnade Kungl. Maj:,Quensel,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1949/prot-1949--fk--2.xml,1949,
i-BcLmuPcpTv61YZrWZqueWW,Q4570928,"Chefen för socialdepartementet, herr statsrådet MÖLLER:",MÖLLER,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1949/prot-1949--ak--13.xml,1949,
