uuid,who,intro,github,year
i-WrC6UFYV9QFJy7hZt218n3,Q5960142,Herr Lithander:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1920/prot-1920--ak--31.xml,1920
i-4s3bjVcQzHQrqBKRUuSP7i,Q55955,Herr Lindhagen:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1920/prot-1920--fk--29.xml,1920
i-To8iL2crxGQahE7HrWev7c,Q1807154,Hans excellens herr ministern för utrikes ärendena Palmstierna:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1920/prot-1920--ak--57.xml,1920
i-4qQF1QGEXinhuxJyStKwgt,Q5581369,Herr Boman:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1920/prot-1920--fk--22.xml,1920
i-MNBPXJKUMDeNTtERcLh2Rn,Q5895936,Herr Jönsson i Revinge:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1920/prot-1920--ak--13.xml,1920
i-MqATgmZpzqSxQHByqgAWde,unknown,Herr Nilsson i Landeryd:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1921/prot-1921--ak--43.xml,1921
i-XCpSsPJXREaETafRFn5ega,Q5573026,Herr Bergqvist:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1921/prot-1921--fk--26.xml,1921
i-UAiEq2Vm6kXs13kn33hAXH,Q5573026,Herr Bergqvist:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1921/prot-1921--fk--26.xml,1921
i-UxJPWR1FdtdWDuBwXyPWR6,Q6255333,Herr Åkerman:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1921/prot-1921--fk--32.xml,1921
i-2zNP63twaJVg4dkZuJdWwL,Q5927431,Herr Kvarnzelius:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1921/prot-1921--fk--37.xml,1921
i-Xcn7Yze21UZB2PEtzNGqkN,Q1511698,Herr von Koch:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1922/prot-1922--fk--39.xml,1922
i-Ay8siguY8rzWtBZpVaD7LU,Q6140360,Herr Jonsson i Eskilstuna:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1922/prot-1922--ak--16.xml,1922
i-LnRNzjzwNkBHDyUMqEj7GM,Q5777827,"Herr Gustafsson, Karl:",https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1922/prot-1922--fk--20.xml,1922
i-6zEKyv5ipY5kvWsnUAXHMi,Q16649624,Herr talman:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1922/prot-1922--ak--47.xml,1922
i-S5QyGxBpNfaD3tJBhLtVbZ,Q5972055,Herr Magnusson i Kalmar:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1922/prot-1922--ak--27.xml,1922
i-YAYUqchhnrgeMzCmjiDtwF,Q5795712,Herr Hederstierna:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1923/prot-1923--fk--7.xml,1923
i-JJfWPpiF4mjw4HdiGgPeTD,Q5578351,Herr Björnsson:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1923/prot-1923--fk--41.xml,1923
i-26CYvocRrp7mWu762d3rnk,Q6188957,Herr Stendahl:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1923/prot-1923--fk--34.xml,1923
