titel,name,start,end,chamber
1,Herman Lamm,1921,1928,FK
2,August Nilsson i Kabbarp,1921,1928,FK
1,August Nilsson i Kabbarp,1929,1931,FK
2,Petrus Nilsson i Gränebo,1929,1931,FK
1,Olof Olsson i Göteborg,1931,1939,FK
2,Petrus Nilsson i Gränebo,1931,1939,FK
1,Petrus Nilsson i Gränebo,1939,1950,FK
2,Harald Åkerberg,1939,1950,FK
1,Petrus Nilsson i Gränebo,1950,1951,FK
2,Axel Strand,1950,1951,FK
1,Axel Strand,1952,1952,FK
2,Erik von Heland,1952,1952,FK
1,Axel Strand,1953,1958,FK
2,Gunnar Lodenius,1953,1958,FK
1,Axel Strand,1959,1970,FK
2,Ivar Johansson,1959,1970,FK
1,Raoul Hamilton,1921,1923,AK
2,Per Nilsson i Bonarp,1921,1923,AK
1,Erik Nilson,1923,1924,AK
2,Per Nilsson i Bonarp,1923,1924,AK
1,Raoul Hamilton,1925,1931,AK
2,Per Nilsson i Bonarp,1925,1931,AK
1,Per Nilsson i Bonarp,1931,1932,AK
2,Sven Bengtsson i Norup,1931,1932,AK
1,Sven Bengtsson i Norup,1933,1934,AK
2,Otto Magnusson,1933,1934,AK
1,Otto Magnusson,1935,1936,AK
2,Ola Jeppsson,1935,1936,AK
1,Ola Jeppsson,1937,1940,AK
2,Karl Magnusson i Skövde,1937,1940,AK
1,Karl Magnusson i Skövde,1940,1943,AK
2,Ivar Österström,1940,1943,AK
1,Karl Magnusson i Skövde,1943,1948,AK
2,Oscar Carlström,1943,1948,AK
1,Oscar Carlström,1949,1949,AK
2,Martin Skoglund,1949,1949,AK
1,Martin Skoglund,1949,1956,AK
2,Anders Olsson,1949,1956,AK
1,Martin Skoglund,1957,1960,AK
2,Oscar Malmborg,1957,1960,AK
1,Oscar Malmborg,1961,1964,AK
2,Torgil von Seth,1961,1964,AK
1,Bertil von Friesen,1965,1970,AK
2,Leif Cassel,1965,1970,AK
1,Torsten Bengtson,1971,1973,
2,Cecilia Nettelbrandt,1971,1973,
3,Ivar Virgin,1971,1973,
1,Torsten Bengtson,1974,1976,
2,Ivar Virgin,1974,1976,
3,Cecilia Nettelbrandt,1974,1976,
1,Torsten Bengtson,1976,1979,
2,Tage Magnusson,1976,1979,
3,Karl Erik Eriksson,1976,1979,
1,Ingegerd Troedsson,1979,1982,
2,Thorsten Larsson,1979,1982,
3,Karl Erik Eriksson,1979,1982,
1,Ingegerd Troedsson,1982,1985,
2,Anders Dahlgren,1982,1985,
3,Karl Erik Eriksson,1982,1985,
1,Ingegerd Troedsson,1985,1988,
2,Karl Erik Eriksson,1985,1988,
2,Christer Eirefelt,1988,1988,
3,Anders Dahlgren,1985,1986,
2,Bertil Fiskesjö,1986,1988,
1,Ingegerd Troedsson,1988,1991,
2,Christer Eirefelt,1988,1991,
3,Bertil Fiskesjö,1988,1991,
1,Stig Alemyr,1991,1994,
2,Christer Eirefelt,1991,1994,
3,Bertil Fiskesjö,1991,1994,
1,Anders Björck,1994,1998,
2,Görel Thurdin,1994,1998,
3,Christer Eirefelt,1994,1998,
1,Anders Björck,1998,2002,
2,Eva Zetterberg,1998,2002,
3,Rose-Marie Frebran,1998,2002,
1,Anders Björck,2002,2002,
1,Per Westerberg,2003,2006,
2,Kerstin Heinemann,2002,2006,
3,Helena Höij,2002,2006,
1,Jan Björkman,2006,2010,
2,Birgitta Sellén,2006,2010,
3,Liselott Hagberg,2006,2010,
1,Susanne Eberstein,2010,2014,
2,Ulf Holm,2010,2014,
3,Liselott Hagberg,2010,2012,
3,Jan Ertsborn,2012,2014,
1,Tobias Billström,2014,2017,
1,Ewa Thalén Finné,2017,2018,
2,Björn Söder,2014,2018,
3,Esabelle Dingizian,2014,2018,
1,Åsa Lindestam,2018,2022,
2,Lotta Johnsson Fornarve,2018,2022,
3,Kerstin Lundgren,2018,2022,
