swerik_id,wiki_id
i-DAzwuDmrMCAk4CXBrm86y5,Q100309603
i-AcrNjdftfgEDKtVYDbE4tQ,Q101093736
i-4zNK5NQ9pgveDzKxdfvZEg,Q1037569
i-EzhmCmNyKREE4AaqdncvAo,Q1037831
i-LCciWZcLX7JDVXPmTcHLUk,Q103821442
i-HSP9LioPctrDbuGfZ5P4G,Q1039038
i-42mC5GTVNHcPV5LNMmxmrj,Q1040479
i-JPgedjW7JshtfAExS9H21b,Q104214592
i-9evG1wrCY8ugVuT6DJU4R7,Q104214611
i-QAFeHr9pWgDV5Bk4wr1CG6,Q104215541
i-GMwXxAt8H2Rdte7umxBjTY,Q104215551
i-Aczr3QcauMaebRRbhWvMM3,Q104215586
i-6dH9awekLaGn5XbWvz3Rer,Q104215635
i-C36nTuziKMuU7CCNJm8Dgo,Q104215746
i-JcnsMFG5uCAPz4rumqou59,Q104215786
i-MBPUkSx8FomETAbir25zcv,Q104215826
i-95TdQsXQmFnoNLDdcUhjVR,Q104215835
i-CfZDtfi5fxYpMgG45nMNHF,Q104215861
i-KVGHAw26wq8T7KZvhmL468,Q104215872
i-9oPPjVzrULrHNYKFEafWno,Q104215884
i-DRqpu2aaHKSgAVbkTGg4rs,Q104215904
i-K82QDXsktky7Ev3GGdtx22,Q104215963
i-BjjxWBPyNaW4sPkC9AvZPw,Q104215982
i-4p8JokQcmoPFNWL1uSASiw,Q104836509
i-PFAPNmRqeUAaxDzNRTG1x1,Q104839950
i-9hG74ML7xpYycy9PPPCLrq,Q104840074
i-KUavj3naU1jTnq3RDnaNqe,Q104841633
i-PzJU3iRvonQtL82VS2dFzm,Q104842277
i-MaRHnNmw2sqAFYBugWDAH2,Q104842860
i-BEmKPkc4pYM6CbmnRs8wL1,Q104843639
i-GFvhnYSfU7uMwMyEbzcgSz,Q104845055
i-TuUeRRRStfRtd42Mi2VQ3H,Q104845813
i-Wmqf7ntDge1sjwuTqYDRCN,Q104850932
i-GqLJiLj3ZWmFCVw4KJoTtW,Q104851791
i-ArBoKHFxXfA2rh9Sm2XzUy,Q104864916
i-6zVoHsaDRNsEf9UCY21bb5,Q104868044
i-AwanSeTqakekXXjJp2MFbe,Q104868355
i-MeSYWWPmxrvbS4Cz76xahd,Q104868905
i-3eaJwNQpWabbVs3LUTGotQ,Q104869831
i-TFANmsL4hdvC2ChJP3hmyH,Q104873799
i-GGQnyd4FBYAVAPfMuLn9Di,Q104874870
i-29DwTeTswrc6CZ69NFKoDy,Q104889010
i-88MYG9139RJrdTz4uBEUfz,Q104889131
i-CaReJU7GckAgFwH9eRz9J,Q104889258
i-2U4y4kpuQrcdDAWFBSNkPp,Q104889673
i-8ZNJWsBMhAczaaMoTcJqRT,Q104889739
i-CiCVc1arZNK5WGUQmfSttX,Q104904121
i-Bv85PfPyP6Kza9FMou862E,Q104904307
i-92j4c5FkzDFwghYzLG8fVq,Q104905221
i-UAK3AB1CjWSo8XH9S5ZhDk,Q104918428
i-QmLKNXtwqmNui98eTHpcAk,Q104919050
i-FCx1vSp3maaCJRjsYNbHqo,Q104919428
i-RgWU8wCMwYhCpZW9xhMn6,Q104922412
i-9kQEhG7b4RhJm3feAQj7DQ,Q104923362
i-WQdu6MraZKg46K4qVrG243,Q105025768
i-Md4cSDKT7AbTr7UiRi7rkw,Q105026351
i-WRT4V5yeETPopk8dVbR6JH,Q105037888
i-Ghdk27PPLqvrzeJCpZR1f6,Q105038114
i-Sov3qVGpNxDDTnN6woghFD,Q105044672
i-5Ub3LuYesBZ5wA22h31n8L,Q105044768
i-DALrnQJRfAh9VdHWZSTBni,Q105044852
i-SmonGw3sJUAmDrU7PPrmf7,Q105045448
i-8WGMX6q7rMnCgERJgAW1Cm,Q105045554
i-MeTcF5dmvAAc3N7VgFXtPs,Q105045781
i-Xe7y1HUKo3cwvjoGKibVwZ,Q105046298
i-HbEYktmpx71DfmfVouRDm7,Q105046520
