id,type,tag,box,content
"https://betalab.kb.se/prot-198788--115#1-39-cblock_4-block_4",Text,1,"362,104,383,24","belasta den allmänna försäkringen.\n"
"https://betalab.kb.se/prot-198788--115#1-39-cblock_4-block_6",Text,1,"360,204,813,92","Låt mig först konstatera att utskottet på en viktig punkt, där det väckts en\nhel del motioner, har lämnat ett enhälligt utlåtande, nämligen när det gäller\nhögkostnadsskyddet.\n"
"https://betalab.kb.se/prot-198788--115#1-39-cblock_4-block_5",Text,1,"361,136,811,59","Jag skall fortsättningsvis kommentera några av våra övriga reservationer.\nDet är ju många olika frågor som berörs i det här betänkandet.\n"
"https://betalab.kb.se/prot-198788--115#1-39-cblock_4-block_7",Text,1,"358,305,815,227","Vi har från folkpartiets sida under flera år motionerat om att sjukresor\nskall ingå i högkostnadsskyddet och att befrielse från ytterligare avgift skall\nges efter 12 stämplar under ett år. Ett enigt utskott anser nu att det finns\nanledning att göra en förutsättningslös utredning om hur det samlade\nförmånssystemet skall kunna reformeras för att det skall skapas större\nrättvisa. Utskottet föreslår med anledning av de aktuella motionerna att\ndetta skall ges regeringen till känna.\n"
"https://betalab.kb.se/prot-198788--115#1-39-cblock_4-block_8",Text,1,"356,542,815,193","I reservation nr 1 har folkpartiet tillsammans med moderaterna föreslagit\natt Dagmarsystemet skall avskaffas. Denna s.k. reform blev knappast vad\nman hade tänkt sig. Fördelningen över landet av reella sjukvårdsresurser har\ninte förbättrats — snarare tvärtom. Etableringskontrollen för privatläkare bör\nalltså upphävas, och vi bör snarast övergå till ett ersättningssystem som kan\nge de av alla önskade effekterna.\n"
"https://betalab.kb.se/prot-198788--115#1-39-cblock_4-block_9",Text,1,"355,744,815,226","I reservation nr 11 tas en annan angelägen fråga upp - frågan om skillnader\ni läkartaxan för läkare i och utanför läkarhus. Den reservationen har vi\nfolkpartister avgivit tillsammans med centerpartisterna. Ersättning till\nprivatläkare som arbetar utanför läkarhus är väsentligt lägre än för läkare\nsom arbetar i läkarhus. Det innebär ofta att små läkarpraktiker motverkas,\noch detta kan slå hårt mot mindre orter. Regeringen bör därför ges till känna\natt läkartaxans utformning skall ses över.\n"
"https://betalab.kb.se/prot-198788--115#1-39-cblock_4-block_10",Text,1,"352,979,815,295","I reservation nr 6 tar vi tillsammans med moderaterna upp det växande\nintresset från olika vårdyrkesgruppers sida att ge vård på entreprenad. Vi\nmenar att sådant intresse bör tas till vara och tänker då bl. a. på arbetsterapeuter,\n barnmorskor och sjuksköterskor. Det är ju en brist att t. ex. dessa\ngrupper inte kan få ersättning från den allmänna försäkringen. Vi menar\ndärför att regeringen bör ges till känna vad som anförs i folkpartimotion\nSf331, dvs. att regeringen skall analysera vad ett förslag om möjlighet för\narbetsterapeuter, barnmorskor och andra att utöva sitt yrke på entreprenad\nskulle kunna tillföra hälso- och sjukvården.\n"
"https://betalab.kb.se/prot-198788--115#1-39-cblock_4-block_12",Text,1,"350,1350,814,193","Vad först beträffar psykoterapeuterna så är situationen oroande, då\nrekryteringen till psykoterapeutisk utbildning minskat, bl.a. därför att\npsykoanalytikerna spelar en nyckelroll för utbildning av psykoterapeuter.\nDagmarsystemet är ett hinder, och därför yrkar vi folkpartister tillsammans\nmed moderaterna i reservation 4 författningsmässiga åtgärder för att förbättra\n rekryteringen till psykoanalytisk utbildning.\n"
"https://betalab.kb.se/prot-198788--115#1-39-cblock_4-block_11",Text,1,"351,1282,813,60","När jag nu uppehåller mig vid olika yrkesgrupper som är verksamma inom\nsjukvården vill jag också ta upp psykoterapeuterna och psykologerna.\n"
"https://betalab.kb.se/prot-198788--115#1-39-cblock_4-block_13",Text,1,"349,1552,813,126","I det här sammanhanget kan noteras att ett enigt utskott dock fann\nanledning att på nytt till regeringen uttala att den tidigare av riksdagen — med\nanledning av en folkpartimotion — begärda utredningen om stöd till\npsykoanalytisk utbildning bör påskyndas.\n"
"https://betalab.kb.se/prot-198788--115#1-39-cblock_4-block_14",Text,1,"374,1687,787,24","I reservation 5, som vi folkpartister av misstag inte står med på, yrkar vi\n"
