id,type,tag,box,content
"https://betalab.kb.se/prot-1969--ak--21#1-48-cblock_3-block_6",Text,1,"253,1350,719,400","Herr talman! Jag skulle bara vilja\nsäga att det var glädjande att lyssna\ntill fru Sigurdsens anförande, i vilket\njag kan instämma. Jag tycker precis\nsom hon, att om man skall anlägga\nskyddssynpunkter på denna fråga, bör\ndessa förhållanden regleras i arbetarskyddslagen\n och inte i denna lag som\navser den ekonomiska ersättningen.\n"
"https://betalab.kb.se/prot-1969--ak--21#1-48-cblock_6-block_13",Text,1,"1026,1987,720,479","Herr talman! Jag hade inte tänkt begära\n ordet flera gånger men jag måste\ngöra det när fru Kristensson talar om\nförmyndarskap och att kvinnorna själva\nskall bestämma 0. s. v. Jag hade accepterat\n detta om bara inte fru Kristensson\n hade lämnat in en motion där det\nstår att avbrott i ledigheten med bibehållen\n rätt till tilläggssjukpenning inte\nbör ske förrän 30 dagar förflutit från\nbarnets födelse.\n"
"https://betalab.kb.se/prot-1969--ak--21#1-48-cblock_6-block_14",Text,1,"1032,2481,714,81","Utskottet har inte velat bestämma en\ngräns, oavsett var den skall sättas, utan\n"
"https://betalab.kb.se/prot-1969--ak--21#1-48-cblock_3-block_7",Text,1,"253,1756,720,535","Jag vill också påstå att i och med\natt vi har denna fasta regel om 30 dagar,\n kan det uppkomma en situation\nsom verkligen motverkar det syfte som\nutskottsmajoritetens talesmän säger sig\nha när de anför skyddssynpunkter. Den\nkvinna som arbetar 31 eller 32 dagar\ngår miste om ekonomisk ersättning i\nfortsättningen och hamnar alltså i den\nsituationen att hon inte kan välja att\nstanna hemma och sköta om sitt barn\nutan helt enkelt måste börja arbeta.\n"
"https://betalab.kb.se/prot-1969--ak--21#1-48-cblock_3-block_8",Text,1,"253,2300,719,261","Jag tycker att utskottsmajoritetens\nhela skrivning tyvärr andas just en\nuppfattning att kvinnorna måste ha någon\n som hjälper dem att välja, någon\nsom hjälper dem att tänka. Vad fru\nSkantz sagt tyder på att kvinnan inte\n"
"https://betalab.kb.se/prot-1969--ak--21#1-48-cblock_5-block_11",Text,1,"1025,996,719,884","Jag skulle slutligen, herr talman, vilja\n säga några ord i anledning av vad\nherr Lundberg anförde beträffande\njordbrukarhustrurna; de får minsann\ninte någon sådan här ersättning, framhöll\n han. Nej, det är riktigt. Jag vet inte\nom herr Lundberg har röstat för det\nförslag som vi från mitt partis sida har\nlagt fram, nämligen att man skulle försöka\n uppskatta värdet av de arbetsinsatser\n som görs av jordbrukarhustrur och\nandra som är gifta med egna företagare.\n En uppskattning av värdet av dessa\narbetsinsatser innebär att vederbörande\nfår deklarera för detta och sedan erhåller\n en tilläggssjukpenning som grundar\nsig på deras arbetsprestation. Om herr\nLundberg har röstat för detta förslag\nhar det varit till hjälp för jordbrukarhustrurna\n även i det här avseendet.\n"
"https://betalab.kb.se/prot-1969--ak--21#1-48-cblock_5-block_10",Text,1,"1024,315,719,663","själv kan få avgöra vad som är bäst\nför henne, om hon skall stanna hemma\noch sköta barnen eller om hon skall\nyrkesarbeta, utan det måste finnas en\nregel som innebär ett slags förmyndarskap\n över henne. Jag kan inte förstå\nhur man i det moderna samhället fortfarande\n kan omfatta sådana förlegade\nsynpunkter. Som fröken Wetterström\nsade tidigare är det kanske i många\nfall arbetsammare för en hustru att\nvara hemma och sköta om barnen än\natt gå till kontoret och anlita någon\nsom under tiden har hand om barnen\ni hemmet.\n"
"https://betalab.kb.se/prot-1969--ak--21#1-48-cblock_2-block_4",Text,1,"255,1125,716,118","Herr talman! I det läge där frågan nu\nbefinner sig yrkar jag bifall till reservationen\n I.\n"
"https://betalab.kb.se/prot-1969--ak--21#1-48-cblock_2-block_3",Text,1,"254,631,717,479","Vi anser att denna maximering innebär,\n som fru Ryding uttryckte det, något\n av ett förmynderskap över kvinnorna.\n Det föreliggande förslaget till uppmjukning\n hälsar vi naturligtvis med\ntillfredsställelse. Men att man föreslår\natt antalet dagar, under vilka arbete tilllåtes,\n maximeras till 30 innebär bara\nett fasthållande vid den byråkrati som\njag tycker att vi alla har anledning att\nförsöka komma ifrån.\n"
"https://betalab.kb.se/prot-1969--ak--21#1-48-cblock_2-block_2",Text,1,"255,315,715,299","nor inom LO som kan ha befunnit sig i\ndenna situation. Men vid de undersökningar\n som vi gjort och som vi tycker\när tillförlitliga har ingenting framkommit\n som tyder på att arbetsgivarna skulle\n utöva tryck på kvinnorna att återgå\ntill förvärvsarbetet.\n"
