Titel,Namn,Namn,Tillträdde,Avgick,Parti
Statsminister,,Hjalmar Branting,14 oktober 1924,24 januari 1925,Socialdemokraterna
Utrikesminister,,Östen Undén,14 oktober 1924,24 januari 1925,Socialdemokraterna
Justitieminister,,Torsten Nothin,14 oktober 1924,24 januari 1925,Socialdemokraterna
Försvarsminister,,Per Albin Hansson,14 oktober 1924,24 januari 1925,Socialdemokraterna
Socialminister,,Gustav Möller,14 oktober 1924,24 januari 1925,Socialdemokraterna
Kommunikationsminister,,Viktor Larsson,14 oktober 1924,24 januari 1925,Socialdemokraterna
Finansminister,,Fredrik Vilhelm Thorsson,14 oktober 1924,24 januari 1925,Socialdemokraterna
Ecklesiastikminister,,Olof Olsson,14 oktober 1924,24 januari 1925,Socialdemokraterna
Jordbruksminister,,Sven Linders,14 oktober 1924,24 januari 1925,Socialdemokraterna
Handelsminister,,Rickard Sandler,14 oktober 1924,24 januari 1925,Socialdemokraterna
Konsultativt statsråd,,Ernst Wigforss,14 oktober 1924,24 januari 1925,Socialdemokraterna
Konsultativt statsråd,,Karl Levinson,14 oktober 1924,24 januari 1925,Partilös
