"protocol_id","elem_id","segmentation","comments"
"prot-1910--fk--9","i-16QCzvUYV8XyHq4jaT9Nw","",""
"prot-1910--fk--12","i-19ok989VJskX4e64FD2gU","",""
"prot-1910--fk--15","i-1EhMvn5frPThp7oJb5ziw","",""
"prot-1910--ak--27","i-118M6FjqPGeS8SzhPFdFz","",""
"prot-1910--ak--62","i-15EzoGTFeuEvUvCQUPn9T","",""
"prot-1910--ak--21","i-18KqDPmqegiyr5yjSiQMu","",""
"prot-1911--fk--13","i-11MSo6GBQAAy9YuSfUFq1","",""
"prot-1911--fk--24","i-11yRZBATbJhMJv5ubcByG","",""
"prot-1911--fk--9","i-112aEvTz9ZqhxRKPPUcncm","",""
"prot-1911--ak--6","i-11Bq9WCC42KYiBBpJG5FU","",""
"prot-1911--ak--9","i-112Vt2yF9DfxbGDzaQPUrJ","",""
"prot-1911--ak--19","i-158eu2MLKPzXbfi5pKDjg","",""
"prot-1912--fk--30","i-13Xd9Ca3HQzEKWgPJr2wJ","",""
"prot-1912--fk--15","i-145GeBpKTDbxMMpmiS1ju","",""
"prot-1912--fk--28","i-14E6dJxbyQHRHfA4pkduM","",""
"prot-1912--ak--54","i-113qzdsbWMbP1qZ4r4afb","",""
"prot-1912--ak--14","i-13dVr55SKyzuHwDnhDvNM","",""
"prot-1912--ak--49","i-14ToAzb7QJxyhtvh9DsQr","",""
"prot-1913--fk--10","i-1C9aGgH8SuuGJUy8Jrq6y","",""
"prot-1913--fk--28","i-1GHLoVrG43aGu4qP5RLPu","",""
"prot-1913--fk--14","i-1JEEi1hhU5GV6X8rYXteu","",""
"prot-1913--ak--49","i-143PQsPmxrDX1k4aJzLyK","",""
"prot-1913--ak--53","i-18GiQVSPGKVeHy5rw3E81","",""
"prot-1913--ak--53","i-18xRHKdNRE2LJYGGWo7W6","",""
"prot-1914-b-fk--10","i-1HaiR4d2i8nzpqGsLvwWE","",""
"prot-1914-b-fk--52","i-1MGvcjhyHwtLNdWDRxyaT","",""
"prot-1914-b-fk--15","i-1bjyntMp1P53KS6CzLqNp","",""
"prot-1914-a-ak--23","i-13xAcsz753ksXg9TvC1jQ","",""
"prot-1914-b-ak--59","i-172pbh4t3c85gdhhph934","",""
