package_id,pagenumber,url,Annotator
prot-1930--ak--13,46,https://github.com/welfare-state-analytics/riksdagen-corpus/tree/mp/corpus/1930/prot-1930--ak--13.xml,Väinö
prot-1929--fk--20,21,https://github.com/welfare-state-analytics/riksdagen-corpus/tree/mp/corpus/1929/prot-1929--fk--20.xml,Robin
prot-1926--fk--28,84,https://github.com/welfare-state-analytics/riksdagen-corpus/tree/mp/corpus/1926/prot-1926--fk--28.xml,Robin
prot-1926--ak--39,10,https://github.com/welfare-state-analytics/riksdagen-corpus/tree/mp/corpus/1926/prot-1926--ak--39.xml,Johan
prot-1929--fk--18,12,https://github.com/welfare-state-analytics/riksdagen-corpus/tree/mp/corpus/1929/prot-1929--fk--18.xml,Johan
prot-1921--fk--48,20,https://github.com/welfare-state-analytics/riksdagen-corpus/tree/mp/corpus/1921/prot-1921--fk--48.xml,Fredrik
prot-1926--fk--30,112,https://github.com/welfare-state-analytics/riksdagen-corpus/tree/mp/corpus/1926/prot-1926--fk--30.xml,Fredrik
prot-1922--fk--14,108,https://github.com/welfare-state-analytics/riksdagen-corpus/tree/mp/corpus/1922/prot-1922--fk--14.xml,Väinö
prot-1921--ak--33,30,https://github.com/welfare-state-analytics/riksdagen-corpus/tree/mp/corpus/1921/prot-1921--ak--33.xml,Robin
prot-1921--fk--19,51,https://github.com/welfare-state-analytics/riksdagen-corpus/tree/mp/corpus/1921/prot-1921--fk--19.xml,Robin
prot-1926--ak--10,126,https://github.com/welfare-state-analytics/riksdagen-corpus/tree/mp/corpus/1926/prot-1926--ak--10.xml,Johan
prot-1929--ak--9,14,https://github.com/welfare-state-analytics/riksdagen-corpus/tree/mp/corpus/1929/prot-1929--ak--9.xml,Johan
prot-1921--ak--29,85,https://github.com/welfare-state-analytics/riksdagen-corpus/tree/mp/corpus/1921/prot-1921--ak--29.xml,Fredrik
prot-1927--fk--12,29,https://github.com/welfare-state-analytics/riksdagen-corpus/tree/mp/corpus/1927/prot-1927--fk--12.xml,Fredrik
prot-1925--ak--43,55,https://github.com/welfare-state-analytics/riksdagen-corpus/tree/mp/corpus/1925/prot-1925--ak--43.xml,Väinö
prot-1922--ak--31,30,https://github.com/welfare-state-analytics/riksdagen-corpus/tree/mp/corpus/1922/prot-1922--ak--31.xml,Robin
prot-1924--fk--45,53,https://github.com/welfare-state-analytics/riksdagen-corpus/tree/mp/corpus/1924/prot-1924--fk--45.xml,Robin
prot-1923--fk--42,51,https://github.com/welfare-state-analytics/riksdagen-corpus/tree/mp/corpus/1923/prot-1923--fk--42.xml,Johan
prot-1925--ak--4,23,https://github.com/welfare-state-analytics/riksdagen-corpus/tree/mp/corpus/1925/prot-1925--ak--4.xml,Johan
prot-1921--ak--42,51,https://github.com/welfare-state-analytics/riksdagen-corpus/tree/mp/corpus/1921/prot-1921--ak--42.xml,Fredrik
prot-1922--ak--41,160,https://github.com/welfare-state-analytics/riksdagen-corpus/tree/mp/corpus/1922/prot-1922--ak--41.xml,Fredrik
prot-1921--fk--35,25,https://github.com/welfare-state-analytics/riksdagen-corpus/tree/mp/corpus/1921/prot-1921--fk--35.xml,Väinö
prot-1925--fk--27,5,https://github.com/welfare-state-analytics/riksdagen-corpus/tree/mp/corpus/1925/prot-1925--fk--27.xml,Robin
