id,type,tag,box,content
"https://betalab.kb.se/prot-1968--ak--30#1-88-cblock_0-block_0",Text,1,"244,167,211,30","88 Nr 30\n"
"https://betalab.kb.se/prot-1968--ak--30#1-88-cblock_1-block_1",Text,1,"694,172,562,37","Torsdagen den 30 maj 1968 fm.\n"
"https://betalab.kb.se/prot-1968--ak--30#1-88-cblock_2-block_2",Text,1,"245,249,1129,43","Effektivisering och samordning av statens skogsföretag, m. m.\n"
"https://betalab.kb.se/prot-1968--ak--30#1-88-cblock_5-block_8",Text,1,"267,1639,633,41","Härmed var överläggningen slutad.\n"
"https://betalab.kb.se/prot-1968--ak--30#1-88-cblock_6-block_9",Text,1,"220,1701,721,438","Herr andre vice talmannen gav propositioner\n dels på bifall till utskottets\nhemställan, dels ock på bifall till motionen\n II: 173; och fann herr andre vice\ntalmannen den förra propositionen vara\nmed övervägande ja besvarad. Herr Lorentzon\n begärde emellertid votering, i\nanledning varav efter given varsel följande\n voteringsproposition upplästes\noch godkändes:\n"
"https://betalab.kb.se/prot-1968--ak--30#1-88-cblock_7-block_10",Text,1,"219,2166,715,126","Den, som vill, att kammaren bifaller\nbankoutskottets hemställan i utskottets\nutlåtande nr 40, röstar\n"
"https://betalab.kb.se/prot-1968--ak--30#1-88-cblock_7-block_11",Text,1,"549,2317,50,33","Ja;\n"
"https://betalab.kb.se/prot-1968--ak--30#1-88-cblock_7-block_12",Text,1,"258,2372,427,37","Den, det ej vill, röstar\n"
"https://betalab.kb.se/prot-1968--ak--30#1-88-cblock_7-block_13",Text,1,"455,2424,152,45","Nej;\n"
"https://betalab.kb.se/prot-1968--ak--30#1-88-cblock_7-block_14",Text,1,"255,2488,674,37","Vinner Nej, har kammaren bifallit\n"
"https://betalab.kb.se/prot-1968--ak--30#1-88-cblock_7-block_15",Text,1,"214,2533,302,30","motionen II: 173.\n"
"https://betalab.kb.se/prot-1968--ak--30#1-88-cblock_8-block_16",Text,1,"1008,322,731,579","Sedan kammarens ledamöter härefter\nintagit sina platser och voteringspropositionen\n blivit ännu en gång uppläst,\nverkställdes omröstning genom uppresning.\n Herr andre vice talmannen tillkännagav,\n att han funne flertalet av\nkammarens ledamöter ha röstat för japropositionen.\n Herr Lorentzon begärde\nemellertid rösträkning, varför votering\nmedelst omröstningsapparat verkställdes.\n Därvid avgavs 185 ja och 14 nej,\nvarjämte 9 av kammarens ledamöter förklarade\n sig avstå från att rösta.\n"
"https://betalab.kb.se/prot-1968--ak--30#1-88-cblock_9-block_17",Text,1,"1006,926,717,77","Kammaren hade alltså bifallit utskottets\n hemställan.\n"
"https://betalab.kb.se/prot-1968--ak--30#1-88-cblock_10-block_18",Text,1,"1317,1083,92,33","8 25\n"
"https://betalab.kb.se/prot-1968--ak--30#1-88-cblock_11-block_19",Text,1,"1002,1142,718,165","Föredrogs tredje lagutskottets memorial\n nr 51, angående uppskov med behandlingen\n av vissa utskottet tilldelade\närenden m. m.\n"
"https://betalab.kb.se/prot-1968--ak--30#1-88-cblock_12-block_20",Text,1,"1042,1340,531,34","Utskottets hemställan bifölls.\n"
"https://betalab.kb.se/prot-1968--ak--30#1-88-cblock_13-block_21",Text,1,"1322,1459,74,33","8 26\n"
"https://betalab.kb.se/prot-1968--ak--30#1-88-cblock_14-block_22",Text,1,"999,1518,717,83","Effektivisering och samordning av statens\n skogsföretag, m. m.\n"
"https://betalab.kb.se/prot-1968--ak--30#1-88-cblock_15-block_23",Text,1,"996,1627,718,217","Föredrogs jordbruksutskottets utlåtande\n nr 32, i anledning av Kungl.\nMaj:ts proposition angående effektivisering\n och samordning av statens skogsföretag,\n m. m., jämte motioner.\n"
"https://betalab.kb.se/prot-1968--ak--30#1-88-cblock_16-block_24",Text,1,"993,1869,717,214","Kungl. Maj:t hade i propositionen nr\n103, under åberopande av utdrag av\nstatsrådsprotokollet över jordbruksärenden\n för den 5 april 1968, föreslagit riksdagen\n att\n"
"https://betalab.kb.se/prot-1968--ak--30#1-88-cblock_16-block_25",Text,1,"990,2093,718,178","1) anta förslag till förordning om\nupphävande av förordningen den 10\nmaj 1935 (nr 157) angående grunder\nför förvaltningen av vissa kronoskogar,\n"
"https://betalab.kb.se/prot-1968--ak--30#1-88-cblock_16-block_26",Text,1,"988,2273,716,130","2) fastställa de grunder som i propositionen\n angivits för domänverkets\nförvaltning av statens skogar,\n"
"https://betalab.kb.se/prot-1968--ak--30#1-88-cblock_16-block_27",Text,1,"985,2407,718,167","3) godkänna den i propositionen förordade\n ändringen i grunderna för försäljning\n i vissa fall av statlig egendom\nm. m.,\n"
